ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	logicaJuist	logicaFout	logicaBlanco	logicaScore
33226	1	1	24	6	0	15	24	6	0	22	6	0	0	6	18	6	0	16	8	1	0	8	14	2	0	13	1	1	0	1	1	1	0	1	0	1	0	0
32936	1	0	15	14	1	7	15	14	1	10	5	1	0	5	10	13	1	6	4	4	1	3	11	5	0	9	0	2	0	0	0	2	0	0	0	1	0	0
32631	1	1	25	5	0	16	25	5	0	23	5	1	0	5	20	4	0	19	8	1	0	8	14	2	0	13	2	0	0	2	1	1	0	1	0	1	0	0
32269	1	1	25	5	0	16	25	5	0	23	6	0	0	6	19	5	0	17	6	3	0	5	15	1	0	15	2	0	0	2	1	1	0	1	1	0	0	1
32981	1	1	20	9	1	11	20	9	1	17	6	0	0	6	14	9	1	11	6	3	0	5	9	6	1	7	2	0	0	2	2	0	0	2	1	0	0	1
32706	1	1	21	9	0	12	21	9	0	18	6	0	0	6	15	9	0	12	8	1	0	8	12	4	0	11	1	1	0	1	0	2	0	0	0	1	0	0
33925	1	1	25	3	2	16	25	3	2	24	6	0	0	6	19	3	2	18	8	1	0	8	13	1	2	13	2	0	0	2	2	0	0	2	0	1	0	0
32709	1	1	20	10	0	11	20	10	0	17	4	2	0	3	16	8	0	13	7	2	0	6	10	6	0	8	1	1	0	1	1	1	0	1	1	0	0	1
33442	1	1	21	9	0	12	21	9	0	18	5	1	0	5	16	8	0	13	7	2	0	6	12	4	0	11	2	0	0	2	0	2	0	0	0	1	0	0
32997	1	0	14	8	8	8	14	8	8	11	4	2	0	3	10	6	8	8	3	3	3	2	7	4	5	6	2	0	0	2	1	1	0	1	1	0	0	1
32492	1	1	17	6	7	10	17	6	7	15	5	1	0	5	12	5	7	10	3	5	1	1	9	1	6	9	2	0	0	2	2	0	0	2	1	0	0	1
