ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
32344	1	C	B	A	D	D	C	D	B	D	C	A	X	X	B	B	D	D	C	A	C	X	C	X	C	B
33222	1	C	B	A	B	B	X	D	B	D	X	A	D	X	B	X	C	X	C	X	X	B	D	X	C	X
32333	1	C	B	A	D	D	B	D	B	D	C	A	X	A	B	A	C	D	C	A	D	D	D	C	B	A
32542	1	A	B	A	B	C	B	D	D	D	C	A	A	C	A	D	C	A	C	B	A	A	A	B	B	B
33214	1	C	B	A	B	D	B	D	B	D	C	B	X	X	X	A	C	D	C	A	D	D	C	C	B	B
33625	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	A	C	A	B
32816	1	C	B	A	B	D	B	D	D	B	C	A	D	A	D	A	C	A	C	A	A	B	A	C	B	D
33271	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
32920	1	C	B	A	B	D	B	D	B	C	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
33817	1	C	B	A	B	D	D	D	B	D	C	A	B	A	B	D	D	C	C	A	D	B	C	D	B	B
33568	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	D	C	B	B
32414	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	C	C	B	B
33564	1	C	B	A	B	B	A	C	B	D	C	A	C	C	B	B	C	B	D	A	D	B	C	A	C	A
33136	1	C	B	A	B	D	A	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
32381	1	C	D	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	B	C	C	B
32512	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	C	C	B	B
33334	1	C	B	A	B	D	B	D	B	D	C	D	B	X	A	A	C	D	C	A	X	D	C	X	B	B
33578	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	D	C	B	B
33219	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	A	C	D	C	A	A	B	D	X	B	B
33583	1	C	B	A	B	D	A	D	B	D	C	A	C	A	B	C	C	A	C	A	D	D	C	C	A	B
33181	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	X	B	B
33519	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	A	C	D	D	A	C	B	B	B	B	B
33458	1	C	B	A	A	D	A	D	B	D	C	A	C	B	B	A	C	B	B	A	D	D	A	B	B	B
32836	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	D	D	B	A	A	B	C	C	B	B
32353	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	B	C	A	C	A	D	D	C	C	B	B
33081	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	D	C	B	C	A	C	B	D	C	C	B
33538	1	C	B	A	B	D	B	A	B	D	C	A	A	C	B	A	C	D	D	A	A	D	A	C	B	B
33749	1	C	B	A	B	D	D	D	B	D	C	A	B	A	B	B	C	C	A	A	D	B	C	C	B	B
33571	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	D
32603	1	C	B	A	B	D	B	D	C	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
33663	1	X	B	A	B	D	B	D	B	D	C	A	B	C	B	D	C	D	C	A	A	B	C	C	B	B
32301	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	A	C	C	C	A	D	D	C	C	B	B
33880	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	A	C	A	D	B	C	C	B	B
33115	1	C	B	A	B	D	B	D	B	D	C	C	B	B	B	D	C	D	C	A	A	D	C	C	B	B
32849	1	C	C	A	B	D	B	A	B	D	C	A	B	A	D	A	D	D	C	D	C	D	A	C	C	A
32599	1	C	B	A	B	D	B	C	B	D	C	A	B	A	A	C	C	C	C	A	A	C	C	D	A	B
33077	1	C	B	A	B	D	B	D	B	D	D	A	D	A	B	A	C	A	C	A	D	B	D	C	B	B
32386	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	X	C	D	C	A	X	B	C	C	B	B
33570	1	C	B	A	B	D	B	D	B	D	C	B	B	X	B	A	C	D	C	A	D	X	X	C	B	B
33904	1	C	B	A	B	D	B	D	B	B	C	A	A	A	B	A	C	A	C	C	D	B	B	D	B	A
33632	1	C	B	A	B	D	B	X	B	D	C	A	B	C	B	A	C	X	C	A	D	C	X	C	B	X
33472	1	C	B	A	D	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	C	B	C	C	B	B
33908	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	A	C	D	C	A	X	D	X	D	B	B
32537	1	C	B	A	B	A	B	D	B	D	C	A	B	A	B	X	C	X	A	A	D	D	X	X	D	A
33638	1	C	B	A	B	D	B	B	B	D	C	A	C	C	B	A	C	D	C	A	D	D	D	C	B	B
33832	1	C	C	A	B	D	B	D	B	D	C	A	B	A	C	A	C	C	C	A	C	D	B	C	C	B
32967	1	C	B	A	B	D	B	D	B	D	C	A	C	D	B	B	C	A	C	A	C	A	A	A	C	B
33444	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	X	D	X	X	C	B
33774	1	B	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	B	A
32362	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	B	C	D	C	A	A	D	D	C	X	B
32990	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	C	C	B	B
32489	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	B	C	D	D	A	D	D	C	C	B	B
33922	1	C	B	C	B	D	B	D	X	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
33901	1	C	B	A	B	D	B	D	C	D	C	C	B	B	B	A	C	D	C	A	D	D	D	C	B	B
32969	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	D	D	C	C	B	B
32215	1	C	D	A	A	D	B	D	B	B	C	A	B	B	B	B	C	A	B	A	C	B	C	D	B	B
33297	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
33579	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	D	A	X	B	X	C	B	B
33867	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	C	C	C	D	A	C	D	C	X	B	D
32566	1	B	B	C	B	B	B	D	B	D	C	A	X	B	B	A	C	C	B	A	C	A	D	C	X	D
32458	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
32303	1	C	B	A	B	D	X	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	C	C	B	B
32660	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	A	C	C	D	B	D
32471	1	C	B	A	B	D	B	D	B	D	C	C	X	X	B	A	C	D	C	A	D	D	D	C	B	B
33382	1	C	B	A	B	D	A	C	B	D	X	A	B	A	B	D	X	D	X	A	B	D	X	B	B	X
33885	1	C	B	A	B	D	B	D	B	D	C	X	B	X	B	A	C	A	C	A	X	D	C	C	X	B
32665	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	X	C	C	B	B
32688	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
32689	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
32265	1	C	B	A	C	A	B	B	B	D	C	C	B	C	B	D	C	D	C	A	C	C	C	B	A	A
33878	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	D	D	B	B
33195	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	C	C	B	B
33349	1	C	B	A	B	D	B	C	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
33921	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
32284	1	C	B	D	B	D	B	D	B	D	C	A	B	A	B	D	C	D	C	A	D	D	D	D	B	B
32769	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
33637	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	B	C	D	D	A
33454	1	C	B	A	D	D	B	D	B	D	C	A	B	A	B	D	C	D	C	A	D	D	A	X	B	D
32626	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	D	B	C	D	B	A
32441	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	X	C	B	X
33517	1	C	B	A	B	D	B	D	B	D	C	A	A	C	D	A	C	D	C	A	D	B	D	D	B	A
32882	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	D	C	B	A
32858	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	C	B	B
32292	1	C	B	A	B	D	B	D	B	D	C	A	C	X	B	A	C	D	C	A	X	X	A	X	B	B
33750	1	C	B	A	B	D	B	B	B	D	C	A	B	A	A	A	C	D	D	A	D	B	C	C	B	A
33821	1	C	B	D	B	D	C	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	X	C	B	B
33179	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	C	D	B	A	D	D	D	C	B	C
32411	1	C	B	A	D	D	B	D	B	D	C	D	B	A	B	C	C	D	D	A	D	B	A	C	B	B
32911	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	A	C	C	C	B	D
