ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
q1363295	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	A	D	X	A	D	C	D	X	B	B
q1342412	1	C	B	A	B	D	B	C	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
q1341100	1	C	B	A	B	D	B	B	B	D	C	C	B	A	B	A	C	D	C	X	D	D	X	C	B	X
q1346637	1	C	B	A	B	D	B	D	B	D	C	C	D	C	B	A	C	C	C	A	D	D	C	A	B	B
q1422794	1	C	B	A	B	D	C	D	B	B	C	A	B	X	B	A	C	D	C	A	D	D	X	X	B	B
q1443216	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	C	C	D	C	A	D	D	B	C	B	C
q1345534	1	C	B	A	B	D	A	D	B	D	C	A	B	A	B	A	D	A	C	A	D	D	C	C	B	B
q1342739	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	D	D	X	B	B
q1363824	1	D	B	A	B	D	C	C	B	D	C	C	A	C	B	C	B	D	C	A	B	C	C	A	C	B
q1407781	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	D	C	D	C	A	X	B	X	X	B	B
q1458306	1	C	B	A	B	D	B	D	B	D	C	D	X	C	B	X	C	D	D	A	B	A	X	B	C	A
q1458963	1	C	B	A	B	D	B	D	B	D	C	A	B	C	D	C	C	A	D	A	D	B	B	D	C	A
q1417869	1	C	B	A	B	D	B	D	B	D	C	A	B	B	D	C	C	A	D	A	D	B	B	D	C	A
q1379583	1	C	B	A	B	D	B	D	B	D	C	D	B	C	B	B	C	D	C	A	D	C	D	C	D	X
q1455819	1	C	B	A	C	D	B	B	B	D	C	C	X	X	D	D	A	A	D	A	B	A	D	X	B	C
q1391908	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	C	B	B
q1400822	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	B	B
q1390771	1	C	B	A	B	D	B	X	X	D	C	A	B	X	B	X	C	D	C	A	X	D	X	X	C	B
q1382215	1	C	B	X	B	D	B	D	B	D	C	A	A	A	B	B	B	X	C	X	D	B	X	C	B	X
q1392361	1	C	B	C	B	A	D	D	A	D	C	A	B	D	B	A	C	D	D	A	C	D	A	B	C	C
q1442399	1	C	B	A	B	D	D	D	B	D	C	A	B	X	B	A	C	D	B	A	D	D	D	C	B	A
q0826738	1	X	X	X	B	B	A	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
r0843765	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	C	D	A	D	B	D	C	B	B
r0798734	1	X	B	A	B	D	B	D	B	D	C	A	X	X	A	X	A	D	C	X	B	B	X	X	B	X
r0845604	1	C	B	A	B	D	B	D	B	B	C	B	B	X	B	X	C	B	C	X	A	B	X	B	B	X
r0840924	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	B	D	C	B	B
r0840107	1	C	X	A	B	X	A	D	B	D	C	X	X	X	X	X	X	D	C	A	B	D	X	X	D	X
r0837942	1	C	B	A	B	D	B	C	B	D	C	D	B	X	B	A	C	D	C	A	X	A	C	X	B	A
r0839486	1	C	B	A	C	B	B	D	B	D	C	A	A	C	A	X	C	C	X	X	B	D	X	D	B	B
r0840752	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	X	C	D	C	A	X	B	X	A	B	B
r0834595	1	C	B	A	B	D	B	D	C	D	C	A	X	X	B	D	C	B	A	X	X	B	C	X	B	B
r0708074	1	C	B	A	B	D	C	A	B	D	C	X	X	X	B	A	C	C	D	A	D	C	X	X	C	X
r0839582	1	D	B	A	B	D	C	A	A	D	C	B	C	B	D	C	C	C	C	C	B	A	A	C	B	B
r0857469	1	C	B	A	A	D	B	D	B	D	C	A	X	C	B	A	C	B	D	X	X	X	X	C	X	X
r0811286	1	C	B	A	B	D	A	D	B	D	C	D	B	A	B	A	C	X	C	A	X	D	X	X	B	X
r0855741	1	C	B	A	B	D	B	D	B	C	A	D	B	B	B	B	C	D	D	A	D	B	A	C	D	A
r0837941	1	C	B	A	B	D	B	D	B	D	C	A	B	A	A	X	C	D	B	A	D	D	D	C	B	A
r0856174	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	A	D	C	A	D	B	X	X	B	D
r0825085	1	B	B	D	B	D	B	B	X	D	C	X	A	X	B	X	B	D	C	A	D	D	D	C	B	X
r0843758	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	A	D	X	C	C	C
r0834784	1	C	B	A	B	D	B	C	B	D	C	A	B	X	B	A	C	D	C	A	A	C	X	C	B	C
r0856154	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	A	C	D	C	X	D	D	D	C	X	B
r0848649	1	C	B	A	B	X	B	D	B	D	C	B	X	C	B	A	C	B	C	X	X	B	X	X	X	A
r0850169	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	X	B	X	C	B	D
r0849682	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	X	C	B	B
r0848650	1	C	B	A	B	C	B	D	B	D	C	A	B	A	B	A	C	D	C	A	X	A	X	C	B	B
r0837927	1	C	B	A	B	D	X	C	B	D	C	D	X	A	B	A	C	D	D	A	X	C	D	X	B	X
r0892869	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	X	B	D	C	X	D	X	X	C	B	X
r0842847	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	X	B	X	C	B	A
r0853423	1	B	D	A	B	C	B	B	B	C	C	A	B	D	D	B	C	C	B	A	A	D	C	A	B	B
r0837928	1	C	B	A	B	C	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	X	X	B
r0835818	1	C	B	A	B	D	B	D	B	D	C	A	D	A	B	A	A	X	C	A	D	B	D	X	B	B
r0837937	1	C	B	A	B	D	B	D	X	D	C	D	A	A	B	A	C	D	C	X	X	D	D	X	B	D
r0855872	1	C	B	A	B	D	B	D	X	D	C	A	A	X	B	X	C	D	A	A	D	B	B	C	B	B
r0849675	1	C	B	A	B	D	B	D	B	D	C	A	C	A	B	X	C	D	D	A	D	B	D	C	D	A
r0849684	1	C	B	A	B	A	A	C	X	D	C	X	D	X	A	X	C	D	C	A	B	D	B	C	B	B
r0837443	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	D	C	B	A
r0837441	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	X	D	C	C	B	X
r0850724	1	C	B	A	B	C	B	X	B	D	C	C	B	C	X	C	C	X	A	X	X	C	D	B	A	X
r0853864	1	C	B	D	B	D	D	X	B	D	C	X	X	C	B	X	C	C	C	A	X	D	C	C	D	A
