ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore
q1419299	1	1	20	2	3	15	10	0	0	10	10	2	3	9
q1445131	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1458288	1	1	21	3	1	16	10	0	0	10	11	3	1	10
q1381668	1	1	18	4	3	13	9	0	1	9	9	4	2	8
q1369421	1	1	15	7	3	10	8	2	0	7	7	5	3	5
q1417067	1	1	18	3	4	14	9	1	0	9	9	2	4	8
q1396638	1	1	20	3	2	15	9	0	1	9	11	3	1	10
q1421200	1	1	15	7	3	10	8	2	0	7	7	5	3	5
q1341923	1	1	24	1	0	19	10	0	0	10	14	1	0	14
q1396595	1	1	19	6	0	14	10	0	0	10	9	6	0	7
q1314680	1	1	16	1	8	13	9	0	1	9	7	1	7	7
q1458350	1	1	18	4	3	13	9	1	0	9	9	3	3	8
q1427407	1	1	22	1	2	17	10	0	0	10	12	1	2	12
q0452728	1	1	22	3	0	17	10	0	0	10	12	3	0	11
q1396625	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1457668	1	1	22	2	1	17	9	1	0	9	13	1	1	13
q1383639	1	1	24	1	0	19	10	0	0	10	14	1	0	14
q1396631	1	1	15	5	5	11	6	3	1	5	9	2	4	8
q1396612	1	1	15	7	3	10	8	2	0	7	7	5	3	5
q1388871	1	1	17	3	5	13	8	1	1	8	9	2	4	8
q1393193	1	1	24	1	0	19	10	0	0	10	14	1	0	14
q1350794	1	1	25	0	0	20	10	0	0	10	15	0	0	15
q1340432	1	1	17	2	6	13	9	0	1	9	8	2	5	7
q1376377	1	1	17	2	6	13	9	0	1	9	8	2	5	7
q1390106	1	1	24	1	0	19	10	0	0	10	14	1	0	14
q1387472	1	1	19	1	5	15	10	0	0	10	9	1	5	9
q1417473	1	1	22	1	2	17	10	0	0	10	12	1	2	12
q1295193	1	1	20	5	0	15	9	1	0	9	11	4	0	10
q1348852	1	1	18	2	5	14	9	1	0	9	9	1	5	9
q1393771	1	1	22	1	2	17	10	0	0	10	12	1	2	12
q1461736	1	0	9	16	0	3	3	7	0	1	6	9	0	3
q1438425	1	1	18	3	4	14	8	1	1	8	10	2	3	9
q1383948	1	0	10	6	9	6	5	3	2	4	5	3	7	4
q1402174	1	1	15	2	8	11	10	0	0	10	5	2	8	4
q1379657	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1380373	1	1	23	2	0	18	10	0	0	10	13	2	0	12
