ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
34600	1	1	15	7	0	12	15	7	0	12
34800	1	1	14	6	2	11	14	6	2	11
34827	1	0	10	7	5	7	10	7	5	7
34688	1	0	11	11	0	7	11	11	0	7
33950	1	0	8	14	0	3	8	14	0	3
34453	1	1	17	5	0	14	17	5	0	14
34103	1	0	8	7	7	5	8	7	7	5
34170	1	1	21	1	0	19	21	1	0	19
34031	1	1	20	0	2	18	20	0	2	18
33967	1	1	18	0	4	16	18	0	4	16
34809	1	1	15	4	3	12	15	4	3	12
34798	1	0	11	5	6	8	11	5	6	8
34265	1	1	13	3	6	11	13	3	6	11
34672	1	1	14	1	7	12	14	1	7	12
34789	1	0	10	8	4	7	10	8	4	7
34793	1	1	19	3	0	16	19	3	0	16
33989	1	0	11	3	8	9	11	3	8	9
34436	1	0	9	11	2	5	9	11	2	5
34620	1	1	15	7	0	12	15	7	0	12
34128	1	0	10	7	5	7	10	7	5	7
34448	1	1	21	1	0	19	21	1	0	19
34731	1	0	12	9	1	8	12	9	1	8
34609	1	1	14	8	0	10	14	8	0	10
34545	1	1	19	3	0	16	19	3	0	16
34515	1	0	9	12	1	5	9	12	1	5
34093	1	1	15	5	2	12	15	5	2	12
34226	1	1	14	8	0	10	14	8	0	10
34391	1	1	16	6	0	13	16	6	0	13
34008	1	0	12	9	1	8	12	9	1	8
34625	1	0	7	7	8	4	7	7	8	4
34557	1	1	13	4	5	11	13	4	5	11
34488	1	1	18	1	3	16	18	1	3	16
34590	1	0	10	11	1	6	10	11	1	6
34616	1	0	6	16	0	1	6	16	0	1
33990	1	1	20	2	0	18	20	2	0	18
34029	1	0	11	3	8	9	11	3	8	9
34570	1	1	13	5	4	10	13	5	4	10
34341	1	0	12	6	4	9	12	6	4	9
34200	1	0	10	12	0	5	10	12	0	5
34109	1	1	17	5	0	14	17	5	0	14
34635	1	0	9	8	5	6	9	8	5	6
34257	1	1	14	8	0	10	14	8	0	10
34467	1	0	7	5	10	5	7	5	10	5
34585	1	1	19	3	0	16	19	3	0	16
34437	1	0	9	9	4	5	9	9	4	5
34174	1	1	19	1	2	17	19	1	2	17
34110	1	0	12	6	4	9	12	6	4	9
34066	1	1	18	2	2	16	18	2	2	16
34088	1	0	11	9	2	7	11	9	2	7
34748	1	1	18	1	3	16	18	1	3	16
34768	1	1	18	3	1	15	18	3	1	15
34157	1	1	15	3	4	13	15	3	4	13
34750	1	1	20	2	0	18	20	2	0	18
34602	1	0	7	15	0	2	7	15	0	2
34120	1	1	17	1	4	15	17	1	4	15
34722	1	1	21	1	0	19	21	1	0	19
34481	1	1	16	1	5	14	16	1	5	14
34349	1	1	22	0	0	20	22	0	0	20
34480	1	0	11	9	2	7	11	9	2	7
34655	1	1	17	5	0	14	17	5	0	14
34547	1	1	16	3	3	14	16	3	3	14
34199	1	1	15	3	4	13	15	3	4	13
34271	1	0	6	1	15	5	6	1	15	5
34000	1	1	18	2	2	16	18	2	2	16
34068	1	0	11	8	3	8	11	8	3	8
34247	1	1	21	0	1	19	21	0	1	19
34253	1	0	12	6	4	9	12	6	4	9
34607	1	1	12	4	6	10	12	4	6	10
34479	1	1	12	3	7	10	12	3	7	10
34560	1	1	20	2	0	18	20	2	0	18
34347	1	1	17	3	2	15	17	3	2	15
34639	1	1	22	0	0	20	22	0	0	20
34577	1	0	11	11	0	7	11	11	0	7
34393	1	0	6	12	4	2	6	12	4	2
34736	1	1	17	5	0	14	17	5	0	14
33962	1	1	17	3	2	15	17	3	2	15
34460	1	1	17	3	2	15	17	3	2	15
34596	1	0	10	9	3	6	10	9	3	6
34532	1	0	9	4	9	7	9	4	9	7
34825	1	1	21	1	0	19	21	1	0	19
34576	1	1	22	0	0	20	22	0	0	20
34513	1	1	18	4	0	15	18	4	0	15
34676	1	0	10	12	0	5	10	12	0	5
34354	1	0	9	8	5	6	9	8	5	6
34058	1	1	14	1	7	12	14	1	7	12
34412	1	1	16	4	2	13	16	4	2	13
34136	1	1	22	0	0	20	22	0	0	20
34503	1	1	12	3	7	10	12	3	7	10
34428	1	1	18	3	1	15	18	3	1	15
34554	1	1	17	5	0	14	17	5	0	14
34324	1	0	4	17	1	0	4	17	1	0
34613	1	1	13	3	6	11	13	3	6	11
34529	1	1	17	3	2	15	17	3	2	15
34502	1	1	22	0	0	20	22	0	0	20
34450	1	0	8	5	9	6	8	5	9	6
34215	1	0	10	5	7	8	10	5	7	8
34486	1	0	11	10	1	7	11	10	1	7
34021	1	1	16	4	2	13	16	4	2	13
34173	1	1	16	2	4	14	16	2	4	14
34624	1	1	22	0	0	20	22	0	0	20
34514	1	1	21	0	1	19	21	0	1	19
34022	1	1	13	1	8	12	13	1	8	12
34042	1	1	21	1	0	19	21	1	0	19
34288	1	0	10	5	7	8	10	5	7	8
34186	1	1	16	5	1	13	16	5	1	13
34315	1	0	12	7	3	9	12	7	3	9
34667	1	1	18	4	0	15	18	4	0	15
34269	1	1	15	5	2	12	15	5	2	12
34059	1	1	15	4	3	12	15	4	3	12
34178	1	1	15	5	2	12	15	5	2	12
34130	1	1	15	2	5	13	15	2	5	13
34525	1	1	17	5	0	14	17	5	0	14
34046	1	0	8	3	11	6	8	3	11	6
34561	1	1	20	1	1	18	20	1	1	18
34105	1	0	8	14	0	3	8	14	0	3
34097	1	0	10	4	8	8	10	4	8	8
34316	1	1	14	5	3	11	14	5	3	11
34630	1	1	21	0	1	19	21	0	1	19
34843	1	1	13	7	2	10	13	7	2	10
34795	1	1	16	6	0	13	16	6	0	13
34318	1	1	19	1	2	17	19	1	2	17
34541	1	1	17	5	0	14	17	5	0	14
34659	1	1	19	1	2	17	19	1	2	17
34228	1	1	19	3	0	16	19	3	0	16
33984	1	1	21	1	0	19	21	1	0	19
34605	1	0	8	9	5	5	8	9	5	5
34302	1	1	17	5	0	14	17	5	0	14
34559	1	1	22	0	0	20	22	0	0	20
34575	1	1	16	3	3	14	16	3	3	14
34414	1	1	19	3	0	16	19	3	0	16
34642	1	0	6	9	7	3	6	9	7	3
34002	1	1	17	3	2	15	17	3	2	15
34216	1	1	14	6	2	11	14	6	2	11
34336	1	0	8	5	9	6	8	5	9	6
34413	1	1	19	3	0	16	19	3	0	16
34289	1	1	17	5	0	14	17	5	0	14
