ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
q1392349	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	C	D	C	A	D	C	C	C	B	A	D	B	C	A	D	A	C	B	B	B
q1434878	1	C	B	D	B	D	B	D	B	D	C	A	B	C	B	A	C	C	C	A	A	D	C	C	B	B	C	A	A	A	D	C	C	B	B	B
q1408685	1	C	B	A	B	D	A	D	X	D	C	A	X	X	B	D	D	D	A	A	D	B	X	X	B	D	D	D	X	A	A	A	C	A	X	B
q1434137	1	C	B	C	B	D	C	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	X	C	B	B	C	B	X	A	D	B	C	B	B	D
q1457253	1	X	B	A	B	D	B	D	B	D	C	A	X	X	B	X	C	D	A	A	X	A	X	C	X	X	X	A	C	X	X	X	C	A	D	B
q1399950	1	C	B	A	B	D	B	X	B	D	C	A	C	D	B	A	C	D	C	A	X	B	B	X	B	B	C	B	C	A	A	A	C	X	C	B
q1345478	1	C	B	A	B	D	B	D	X	D	C	A	B	A	B	A	C	D	C	A	D	B	D	C	B	B	C	B	C	A	D	A	C	C	B	C
q1388245	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	A	X	B	B	C	B	C	A	D	B	C	B	B	B
q1438321	1	X	B	A	B	D	B	X	X	D	C	A	X	X	A	A	C	D	C	A	D	X	X	C	B	B	C	B	C	A	D	B	C	B	B	B
q0899791	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	X	C	B	B	C	B	D	A	D	A	C	A	B	B
q1346699	1	A	B	C	C	B	B	D	B	D	A	A	A	A	B	B	C	D	C	A	B	B	A	C	C	A	C	B	A	A	B	A	C	C	B	B
q1381778	1	X	B	A	X	D	B	D	B	D	C	A	X	B	B	A	C	D	C	A	D	D	X	X	B	A	D	B	C	A	X	A	C	C	B	D
q1381114	1	X	B	A	B	D	B	D	B	D	C	C	B	A	B	A	C	B	C	A	X	B	X	X	X	B	C	B	B	A	X	A	C	B	B	B
q1381246	1	C	B	A	B	D	B	X	B	D	C	A	X	X	D	X	C	X	C	A	X	C	X	X	B	X	B	D	A	A	X	B	C	X	B	D
q1238262	1	C	B	A	A	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	D	B	B	B	C	B	C	A	D	A	C	B	B	B
q1379955	1	C	B	A	B	D	B	C	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	C	C	A	D	B	C	B	B	B
q1413773	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	B	B	B	B	B	D	D	D	A	C	B	B	B
q1431168	1	X	B	A	B	X	B	A	B	D	C	C	B	D	B	X	C	B	A	X	D	C	X	D	C	X	C	B	B	A	D	A	B	B	B	B
q1315202	1	C	B	A	B	D	B	D	B	B	C	A	B	C	B	A	C	D	C	A	D	D	C	C	B	B	C	B	D	D	D	A	C	B	B	B
q1388368	1	C	D	A	B	D	B	D	B	A	C	A	B	C	B	A	C	D	B	D	X	X	X	X	B	A	C	B	A	A	D	B	C	C	B	C
q1389043	1	C	B	A	D	D	B	D	B	B	C	A	B	A	B	X	C	X	C	A	D	B	D	C	B	X	C	B	C	A	D	B	C	B	C	B
q1376422	1	C	B	A	B	D	B	D	B	B	C	A	A	A	B	A	C	D	D	A	X	D	D	X	X	X	C	C	X	A	X	X	C	B	X	B
q1437877	1	C	B	A	A	A	B	A	B	D	D	A	A	X	B	X	C	X	C	X	A	B	X	X	B	X	C	D	B	A	D	A	A	C	B	B
q1269402	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	X	C	B	C	A	D	A	C	B	B	B
q1433264	1	C	B	A	B	D	B	B	B	B	C	B	X	X	B	A	C	D	C	A	D	B	C	X	B	B	C	B	A	A	X	A	D	C	B	C
q1386041	1	C	B	C	B	D	B	D	B	D	C	A	B	X	B	B	C	D	C	A	A	B	C	C	B	X	C	X	C	B	C	A	X	A	B	X
q1390628	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	A	D	C	A	C	B	C	C	B	A	C	D	C	A	D	A	C	A	B	C
q1443497	1	X	A	A	X	X	X	X	B	D	X	D	B	X	X	X	D	C	C	A	X	X	D	X	X	X	C	B	B	A	D	B	X	C	B	C
q1397213	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	X	C	B	X	C	B	B	A	D	X	C	B	C	B
q1388287	1	C	B	A	D	D	B	A	B	D	C	A	B	A	D	A	C	D	B	A	D	B	X	C	B	X	C	B	C	A	D	C	C	C	B	B
q1416054	1	D	B	A	B	D	B	D	B	D	C	A	A	B	C	A	C	D	C	A	D	B	C	C	B	B	C	A	B	A	A	A	C	B	B	B
q1405912	1	C	X	A	C	D	B	X	B	B	C	C	B	X	B	X	C	D	C	A	D	C	X	X	B	B	C	B	C	A	D	A	C	B	B	B
q1380734	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	B	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
q1330214	1	C	B	A	D	D	B	C	B	D	C	A	B	X	B	X	C	D	C	A	X	B	A	X	X	B	B	B	C	C	D	B	C	B	B	B
q1406449	1	D	B	A	B	D	A	D	B	D	C	A	X	B	B	X	C	D	C	A	X	B	C	X	C	B	C	B	B	A	D	A	X	X	B	C
q1381196	1	C	B	A	A	D	B	X	B	D	C	A	B	C	B	A	C	D	A	A	D	C	C	C	A	B	C	B	D	X	A	A	X	B	B	B
q1334836	1	C	B	A	B	D	B	D	B	D	C	D	B	A	B	B	C	D	C	A	D	B	C	D	B	B	C	B	C	A	C	A	C	C	B	B
q1321918	1	C	B	A	A	B	X	A	X	X	C	A	B	X	B	A	C	D	X	X	X	D	X	C	X	X	C	B	D	A	X	B	C	B	B	B
q1384557	1	C	B	A	D	D	B	A	B	D	C	D	X	D	B	A	C	C	C	A	X	B	D	X	B	X	C	A	C	B	D	B	C	B	B	B
q1384291	1	C	B	A	B	D	C	D	B	D	C	A	B	C	B	A	C	X	C	A	D	B	C	X	X	B	D	B	X	A	X	X	B	B	C	B
q1388247	1	B	B	A	B	D	B	C	B	D	C	X	X	X	B	D	C	D	X	X	X	B	X	X	X	X	C	A	B	D	X	A	C	X	B	B
q1337842	1	C	B	A	A	D	C	C	B	D	C	A	A	D	B	B	C	C	B	B	A	A	C	B	B	B	B	C	B	A	C	C	C	B	A	B
