ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	chemie_fysicaJuist	chemie_fysicaFout	chemie_fysicaBlanco	chemie_fysicaScore
34283	1	0	11	11	0	7	9	7	0	7	2	4	0	1
34538	1	1	19	3	0	16	14	2	0	13	5	1	0	5
34239	1	1	14	4	4	12	11	3	2	10	3	1	2	3
34564	1	1	18	2	2	16	13	2	1	12	5	0	1	5
33980	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34754	1	0	12	6	4	9	8	6	2	6	4	0	2	4
34291	1	1	14	4	4	12	10	3	3	9	4	1	1	4
34597	1	0	12	5	5	9	10	4	2	9	2	1	3	2
34682	1	1	19	3	0	16	14	2	0	13	5	1	0	5
34492	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34011	1	0	10	8	4	7	9	5	2	7	1	3	2	0
34053	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34742	1	1	21	1	0	19	15	1	0	15	6	0	0	6
33975	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34442	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34506	1	1	13	3	6	11	12	1	3	12	1	2	3	0
34242	1	0	11	7	4	8	7	7	2	5	4	0	2	4
34259	1	0	10	10	2	6	9	5	2	7	1	5	0	0
34647	1	0	8	8	6	5	6	6	4	4	2	2	2	1
34070	1	1	17	4	1	14	13	3	0	12	4	1	1	4
34389	1	0	11	7	4	8	7	6	3	5	4	1	1	4
34277	1	1	19	3	0	16	16	0	0	16	3	3	0	2
34266	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34069	1	0	7	7	8	4	5	7	4	3	2	0	4	2
34641	1	0	10	5	7	8	8	4	4	7	2	1	3	2
34649	1	1	18	3	1	15	15	1	0	15	3	2	1	2
34309	1	1	19	3	0	16	13	3	0	12	6	0	0	6
34045	1	1	19	2	1	17	15	1	0	15	4	1	1	4
34464	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34251	1	0	12	10	0	8	12	4	0	11	0	6	0	0
34747	1	1	14	2	6	12	11	1	4	11	3	1	2	3
34025	1	1	17	2	3	15	12	2	2	11	5	0	1	5
34794	1	1	12	3	7	10	10	2	4	9	2	1	3	2
34274	1	0	7	4	11	5	5	3	8	4	2	1	3	2
34300	1	1	12	4	6	10	8	4	4	7	4	0	2	4
34188	1	1	13	5	4	10	11	2	3	10	2	3	1	1
34423	1	1	21	1	0	19	16	0	0	16	5	1	0	5
34279	1	1	18	4	0	15	13	3	0	12	5	1	0	5
34713	1	1	15	5	2	12	12	3	1	11	3	2	1	2
34299	1	0	12	5	5	9	11	3	2	10	1	2	3	0
34203	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34622	1	1	15	7	0	12	14	2	0	13	1	5	0	0
34461	1	1	18	3	1	15	14	1	1	14	4	2	0	3
34542	1	1	16	6	0	13	12	4	0	11	4	2	0	3
34147	1	1	20	2	0	18	16	0	0	16	4	2	0	3
34732	1	1	20	0	2	18	14	0	2	14	6	0	0	6
34003	1	0	11	7	4	8	9	5	2	7	2	2	2	1
34392	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34420	1	1	15	7	0	12	14	2	0	13	1	5	0	0
33966	1	1	13	3	6	11	11	2	3	10	2	1	3	2
34803	1	1	17	5	0	14	12	4	0	11	5	1	0	5
34363	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34421	1	1	18	3	1	15	12	3	1	11	6	0	0	6
34701	1	1	19	2	1	17	14	2	0	13	5	0	1	5
34771	1	1	18	1	3	16	15	1	0	15	3	0	3	3
34047	1	1	18	4	0	15	13	3	0	12	5	1	0	5
34172	1	1	13	3	6	11	11	2	3	10	2	1	3	2
33953	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34106	1	1	17	3	2	15	12	3	1	11	5	0	1	5
34306	1	0	12	6	4	9	9	3	4	8	3	3	0	2
34563	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34759	1	0	7	8	7	4	5	4	7	4	2	4	0	1
34537	1	1	15	6	1	12	13	2	1	12	2	4	0	1
34719	1	1	19	1	2	17	14	1	1	14	5	0	1	5
34716	1	1	19	2	1	17	14	2	0	13	5	0	1	5
34418	1	1	21	0	1	19	16	0	0	16	5	0	1	5
34034	1	1	19	1	2	17	13	1	2	13	6	0	0	6
34118	1	1	19	2	1	17	14	1	1	14	5	1	0	5
34210	1	1	21	1	0	19	16	0	0	16	5	1	0	5
34366	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34535	1	1	19	3	0	16	13	3	0	12	6	0	0	6
34651	1	1	16	5	1	13	11	4	1	10	5	1	0	5
33964	1	1	17	4	1	14	14	1	1	14	3	3	0	2
34548	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34225	1	1	14	8	0	10	11	5	0	9	3	3	0	2
34432	1	1	18	3	1	15	14	1	1	14	4	2	0	3
34023	1	0	11	2	9	9	8	1	7	8	3	1	2	3
34447	1	1	13	5	4	10	11	3	2	10	2	2	2	1
34132	1	1	13	3	6	11	11	2	3	10	2	1	3	2
34197	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34473	1	1	15	6	1	12	12	4	0	11	3	2	1	2
34487	1	1	17	5	0	14	12	4	0	11	5	1	0	5
34180	1	0	12	8	2	8	11	4	1	10	1	4	1	0
34131	1	1	17	3	2	15	12	3	1	11	5	0	1	5
