ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
30679	1	1	17	3	2	15	17	3	2	15
30900	1	1	19	1	2	17	19	1	2	17
30607	1	1	20	2	0	18	20	2	0	18
30518	1	1	19	2	1	17	19	2	1	17
30604	1	0	11	10	1	7	11	10	1	7
30825	1	1	20	2	0	18	20	2	0	18
30568	1	1	20	1	1	18	20	1	1	18
30694	1	1	19	2	1	17	19	2	1	17
30907	1	1	21	0	1	19	21	0	1	19
30712	1	1	17	2	3	15	17	2	3	15
30823	1	0	7	2	13	6	7	2	13	6
30588	1	0	8	7	7	5	8	7	7	5
30768	1	0	11	4	7	9	11	4	7	9
30621	1	1	19	3	0	16	19	3	0	16
30836	1	1	13	2	7	11	13	2	7	11
30853	1	0	12	5	5	9	12	5	5	9
30625	1	1	18	3	1	15	18	3	1	15
30640	1	1	16	6	0	13	16	6	0	13
30567	1	1	18	4	0	15	18	4	0	15
30908	1	1	17	0	5	15	17	0	5	15
30551	1	1	18	2	2	16	18	2	2	16
30887	1	1	15	3	4	13	15	3	4	13
30808	1	1	15	1	6	13	15	1	6	13
30702	1	0	12	6	4	9	12	6	4	9
30901	1	1	16	2	4	14	16	2	4	14
30497	1	1	13	7	2	10	13	7	2	10
30557	1	1	21	1	0	19	21	1	0	19
30590	1	1	19	1	2	17	19	1	2	17
30612	1	0	4	15	3	0	4	15	3	0
30710	1	1	20	1	1	18	20	1	1	18
30642	1	1	14	2	6	12	14	2	6	12
30611	1	1	19	1	2	17	19	1	2	17
30636	1	1	16	6	0	13	16	6	0	13
30696	1	0	7	7	8	4	7	7	8	4
30653	1	1	13	3	6	11	13	3	6	11
30763	1	1	18	0	4	16	18	0	4	16
30591	1	0	10	2	10	8	10	2	10	8
30589	1	1	20	2	0	18	20	2	0	18
30601	1	1	22	0	0	20	22	0	0	20
30615	1	0	9	3	10	7	9	3	10	7
30632	1	1	14	6	2	11	14	6	2	11
30892	1	1	16	3	3	14	16	3	3	14
30613	1	1	20	2	0	18	20	2	0	18
30637	1	0	4	8	10	1	4	8	10	1
30885	1	1	16	1	5	14	16	1	5	14
30820	1	0	12	5	5	9	12	5	5	9
30850	1	1	19	0	3	17	19	0	3	17
30660	1	1	18	2	2	16	18	2	2	16
30641	1	1	20	1	1	18	20	1	1	18
30872	1	1	22	0	0	20	22	0	0	20
30879	1	1	19	1	2	17	19	1	2	17
30690	1	1	13	5	4	10	13	5	4	10
30844	1	0	11	7	4	8	11	7	4	8
30506	1	1	19	3	0	16	19	3	0	16
30610	1	0	8	10	4	4	8	10	4	4
30736	1	1	14	3	5	12	14	3	5	12
30517	1	1	14	6	2	11	14	6	2	11
30646	1	0	9	9	4	5	9	9	4	5
30699	1	1	15	1	6	13	15	1	6	13
30859	1	1	20	2	0	18	20	2	0	18
30834	1	0	11	4	7	9	11	4	7	9
30827	1	1	13	7	2	10	13	7	2	10
30829	1	1	17	4	1	14	17	4	1	14
30914	1	1	16	5	1	13	16	5	1	13
30886	1	1	19	1	2	17	19	1	2	17
30532	1	0	8	4	10	6	8	4	10	6
30765	1	1	20	2	0	18	20	2	0	18
30776	1	1	17	3	2	15	17	3	2	15
30705	1	1	13	7	2	10	13	7	2	10
30814	1	0	8	8	6	5	8	8	6	5
30748	1	1	14	4	4	12	14	4	4	12
30490	1	1	19	3	0	16	19	3	0	16
30893	1	1	20	0	2	18	20	0	2	18
30639	1	1	12	3	7	10	12	3	7	10
30657	1	1	20	2	0	18	20	2	0	18
30835	1	1	14	5	3	11	14	5	3	11
30718	1	1	21	1	0	19	21	1	0	19
30619	1	0	11	4	7	9	11	4	7	9
30554	1	1	19	3	0	16	19	3	0	16
31538	1	1	16	2	4	14	16	2	4	14
31505	1	1	15	1	6	13	15	1	6	13
31470	1	1	13	0	9	12	13	0	9	12
31565	1	1	18	2	2	16	18	2	2	16
31453	1	1	14	5	3	11	14	5	3	11
31629	1	1	14	5	3	11	14	5	3	11
31334	1	1	12	2	8	10	12	2	8	10
31343	1	1	18	2	2	16	18	2	2	16
31438	1	1	17	4	1	14	17	4	1	14
31431	1	0	10	3	9	8	10	3	9	8
31456	1	1	20	1	1	18	20	1	1	18
31424	1	0	11	3	8	9	11	3	8	9
31359	1	1	15	3	4	13	15	3	4	13
31655	1	1	16	2	4	14	16	2	4	14
31575	1	0	9	5	8	7	9	5	8	7
31407	1	1	14	6	2	11	14	6	2	11
31432	1	0	7	6	9	5	7	6	9	5
31412	1	1	14	5	3	11	14	5	3	11
31435	1	1	14	4	4	12	14	4	4	12
31460	1	1	14	3	5	12	14	3	5	12
31471	1	1	17	4	1	14	17	4	1	14
31501	1	1	14	4	4	12	14	4	4	12
31340	1	0	4	2	16	3	4	2	16	3
31336	1	0	9	3	10	7	9	3	10	7
31458	1	1	13	2	7	11	13	2	7	11
31347	1	1	15	1	6	13	15	1	6	13
