feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
17ia51478	1	D	C	D	B	D	A	A	A	C	D	A	A	C	D	C	X	B	D	D	A	C	A
17ia70434	1	X	B	X	B	X	X	X	X	X	X	X	X	X	X	X	X	X	X	C	X	D	A
17ia63559	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	D	A	C	A
17ia39749	1	X	C	B	C	C	X	B	X	X	X	X	X	X	C	C	X	X	D	D	A	A	A
17ia46568	1	C	C	B	B	D	A	A	D	C	D	A	D	C	C	C	B	D	D	C	D	B	A
17ia51997	1	X	C	D	C	D	A	D	A	C	C	X	X	X	D	C	X	X	X	D	A	X	A
17ia47634	1	X	C	C	B	A	X	B	C	X	B	C	X	C	B	X	X	X	X	D	A	C	D
17ia61000	1	D	C	B	B	D	A	D	A	X	D	B	X	X	D	C	A	B	X	D	A	C	A
17ia87801	1	D	C	B	B	X	X	D	A	X	D	B	X	X	X	C	X	X	C	D	A	D	A
17ia68873	1	D	C	B	B	D	A	D	A	X	D	B	X	X	D	C	X	B	D	D	C	X	A
17ia24447	1	D	C	B	B	D	C	D	A	C	D	B	A	C	D	C	A	B	X	D	A	C	A
17ia66882	1	B	B	A	A	C	C	X	D	X	C	B	C	A	C	B	D	X	C	D	A	A	C
17ia11494	1	D	C	B	B	D	A	D	A	C	D	X	X	X	D	C	A	X	D	D	D	X	A
17ia97452	1	D	C	C	B	D	C	D	A	C	D	B	D	X	B	B	X	X	C	D	A	C	A
17ia92279	1	D	C	B	A	D	X	C	B	C	C	D	D	X	X	B	X	X	X	D	A	C	A
17ia17133	1	D	C	B	B	D	A	C	A	C	B	B	X	X	D	C	X	A	D	D	A	C	A
17ia27375	1	D	C	B	B	C	B	C	A	X	C	D	X	X	D	C	X	B	X	D	A	A	A
17ia37797	1	A	C	X	B	A	B	C	X	X	D	D	X	X	D	C	X	X	X	D	D	D	A
17ia42145	1	D	C	B	B	D	X	C	A	C	A	B	A	X	X	X	X	B	D	C	D	X	X
17ia82192	1	D	C	B	A	D	X	D	C	X	D	B	B	X	D	C	X	X	X	C	C	A	A
17ia82935	1	D	C	B	B	D	B	C	A	C	B	C	A	C	D	B	X	X	D	D	A	C	A
17ia92122	1	D	C	D	B	D	C	D	A	C	B	X	A	X	D	C	X	X	X	D	A	D	A
17ia20669	1	D	C	B	B	D	A	X	A	C	D	D	A	X	X	D	A	A	D	D	A	C	A
17ia37360	1	D	C	B	B	D	A	D	A	C	D	X	X	X	D	C	A	B	D	D	A	C	A
17ia70879	1	D	C	B	B	D	X	D	A	C	B	X	X	X	D	X	X	X	D	D	A	C	A
17ia62356	1	D	B	B	B	D	B	X	A	C	C	B	A	X	D	X	X	X	X	A	C	X	A
17ia10355	1	D	C	B	B	D	A	X	A	C	D	B	A	X	X	C	X	X	X	D	A	X	X
17ia49859	1	D	C	A	B	D	B	C	A	X	D	D	B	C	D	D	B	B	D	D	A	C	A
17ia72541	1	D	C	B	B	D	A	C	A	C	D	X	X	X	X	C	X	X	X	D	A	C	A
17ia42085	1	D	C	C	B	D	X	D	X	C	D	B	X	X	D	X	X	X	D	D	A	C	C
17ia26046	1	B	B	B	B	D	A	B	A	X	D	B	A	X	D	X	X	X	D	D	D	C	A
17ia35580	1	D	C	D	D	D	X	D	A	C	D	B	A	X	X	X	A	X	X	D	A	C	A
17ia73210	1	X	C	B	B	D	B	D	C	X	D	X	X	C	D	C	X	X	D	D	A	C	A
17ia81181	1	D	C	B	B	D	X	X	X	X	D	B	X	C	D	X	X	B	X	D	A	C	A
17ia17957	1	D	C	B	D	D	A	B	A	C	B	X	A	X	D	X	X	B	D	D	A	C	A
17ia61053	1	D	C	B	B	D	X	D	B	X	B	X	X	C	D	C	X	B	D	D	A	X	A
17ia51551	1	D	C	B	B	D	A	D	A	C	D	B	X	X	D	C	X	B	D	D	A	C	A
17ia78677	1	D	X	C	B	D	B	C	D	C	D	B	X	X	D	X	X	B	D	D	A	C	A
17ia66832	1	D	C	B	B	D	B	D	A	C	B	X	A	X	D	C	X	B	X	D	A	D	A
17ia30964	1	D	B	C	B	D	X	D	B	X	D	D	X	X	D	C	X	X	D	D	A	C	A
17ia82626	1	D	C	B	A	D	X	C	A	C	D	C	X	X	X	D	X	X	X	D	C	X	B
17ia57223	1	D	D	B	B	C	A	D	A	C	D	B	A	C	D	C	A	B	X	D	A	C	A
17ia21100	1	D	C	B	A	D	X	D	A	C	X	B	X	X	D	X	X	B	X	D	D	X	A
17ia47930	1	D	C	B	B	D	A	X	X	C	D	X	A	X	D	C	X	B	X	D	A	C	A
17ia37658	1	D	C	B	B	D	A	C	A	C	D	D	X	X	D	C	X	A	X	D	A	B	A
17ia87084	1	D	C	B	A	D	X	C	A	C	D	B	A	X	D	C	X	X	X	A	C	D	A
17ia58001	1	D	C	B	B	D	X	C	A	C	B	B	A	X	C	C	X	X	D	D	X	D	A
17ia72618	1	X	C	X	B	D	X	C	B	C	D	B	X	X	C	C	X	X	X	D	A	C	A
17ia12394	1	D	C	B	B	D	X	D	A	C	D	B	A	A	X	X	A	B	D	D	X	X	A
17ia24957	1	D	C	B	B	D	A	D	A	C	D	B	X	X	X	C	A	B	D	D	A	C	A
17ia75991	1	D	B	B	B	D	C	C	A	X	B	B	X	X	D	C	X	C	D	D	A	C	A
17ia45348	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	A	A	A
17ia60590	1	D	C	B	B	D	B	D	D	D	A	B	A	X	D	C	X	X	A	A	D	D	A
17ia65228	1	D	B	B	B	D	X	C	C	X	B	X	D	C	D	C	X	X	X	C	A	A	A
17ia25027	1	D	C	B	B	D	B	C	A	X	D	D	A	X	X	C	X	C	D	C	D	B	C
17ia82255	1	D	D	B	B	D	B	B	A	C	D	X	A	C	D	C	X	B	X	X	A	X	B
17ia82599	1	D	C	B	C	C	A	C	A	C	X	C	X	D	A	C	B	A	C	D	C	A	A
17ia10896	1	D	C	B	A	D	A	C	D	X	D	X	A	C	X	C	X	B	D	D	A	C	A
17ia38285	1	D	C	D	B	B	X	C	A	C	D	X	A	X	D	C	X	X	D	D	A	C	A
17ia80547	1	D	C	D	B	X	X	D	X	X	D	A	D	X	C	D	X	X	X	D	A	B	A
17ia33574	1	X	C	D	B	D	X	B	D	X	B	B	X	X	D	X	X	X	C	D	D	X	A
17ia71004	1	D	B	C	B	D	X	A	X	X	D	X	X	X	D	C	X	X	X	D	X	D	A
17ia57610	1	A	C	D	B	A	X	B	A	X	D	D	X	X	X	X	X	X	D	D	A	C	A
17ia35340	1	D	C	B	B	D	A	D	A	X	D	B	X	C	C	C	X	B	D	D	D	C	A
17ia68878	1	D	C	B	X	D	A	C	D	C	D	B	D	X	D	X	B	A	C	D	X	A	C
17ia25874	1	D	C	B	B	A	C	C	A	X	B	D	D	X	B	X	X	B	X	D	A	D	D
17ia56924	1	D	C	B	B	D	A	D	X	C	D	X	X	X	D	C	X	B	D	D	A	C	A
17ia38250	1	D	C	B	B	X	B	B	C	X	D	C	X	X	X	X	X	X	X	D	A	C	A
17ia80720	1	B	C	B	B	D	A	D	A	C	D	D	X	X	D	A	X	B	D	D	D	A	A
17ia65575	1	X	C	B	B	D	A	C	A	C	D	X	A	X	C	D	X	B	X	D	X	C	A
17ia54975	1	D	C	B	B	D	A	D	C	C	D	B	A	D	D	C	A	B	D	D	A	B	A
17ia73529	1	D	C	B	B	D	X	D	C	C	D	B	A	C	D	D	C	X	D	D	A	A	A
17ia53954	1	D	C	B	B	D	X	X	A	X	B	C	A	D	X	B	X	X	X	D	D	X	A
17ia28461	1	A	C	X	B	X	D	C	D	X	D	X	D	D	C	C	B	A	D	D	A	A	C
17ia64734	1	X	C	B	B	D	A	C	A	C	D	B	X	X	D	X	X	B	D	D	D	C	A
17ia18585	1	X	C	C	A	D	C	X	A	X	A	D	X	B	C	B	B	X	D	A	B	B	A
17ia98562	1	D	C	A	B	X	A	A	A	C	D	B	X	X	D	X	X	X	D	D	A	D	A
17ia72564	1	D	C	B	A	D	X	C	X	C	D	B	X	C	D	A	X	X	D	D	A	D	A
17ia46453	1	D	B	B	B	D	X	D	A	C	D	C	X	B	D	B	X	X	D	D	A	C	A
