ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
q1460256	1	C	B	A	B	D	X	D	B	D	X	A	X	X	B	X	C	D	C	X	X	D	X	X	X	X	D	B	C	A	A	B	B	B	B	B
q1399763	1	C	B	A	B	D	B	X	B	D	C	D	B	A	B	A	C	A	D	A	D	B	D	X	B	X	C	A	C	A	D	A	A	X	B	B
q1378148	1	C	B	A	D	D	B	D	B	D	C	A	B	A	B	A	C	B	B	A	D	D	C	C	B	B	C	C	C	D	D	A	C	A	B	B
q1411496	1	C	B	A	B	D	B	D	B	C	C	D	B	B	B	A	C	A	C	A	D	D	C	C	C	B	C	D	C	A	D	A	X	B	B	B
q1380532	1	C	B	A	B	D	D	C	B	D	C	A	X	X	B	C	C	D	C	A	X	B	D	C	X	B	C	B	C	A	X	B	C	B	C	B
q1459915	1	X	X	X	B	X	A	C	X	D	C	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	B	B	X	X	X	B	C	X	B	B
q1318225	1	C	B	A	C	D	B	C	B	D	C	C	B	A	D	D	C	C	D	A	D	B	C	C	A	B	C	B	B	A	D	B	C	A	B	D
q1347439	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	C	A	D	B	A	A	A	D	C	B	B	C	B	B	D	C	B	D	B	B	D
q1420855	1	C	B	A	B	D	X	D	X	D	C	D	X	X	B	A	C	D	C	A	X	B	D	X	B	B	X	D	B	A	D	A	C	B	B	B
q1382312	1	C	B	C	B	D	B	D	B	D	C	C	B	A	B	A	C	D	C	A	D	D	C	C	A	A	C	B	C	A	D	A	A	B	C	B
q1372220	1	C	B	C	B	D	B	D	B	D	C	C	B	A	B	A	C	D	C	A	D	D	C	C	A	A	C	B	C	A	D	A	A	B	C	B
q1374572	1	C	B	A	B	D	X	C	B	D	C	A	X	A	A	A	C	D	C	A	X	C	D	X	B	B	C	B	X	A	D	C	D	C	B	B
q1423237	1	X	B	A	B	D	D	D	X	D	C	A	X	X	B	A	C	X	D	A	X	B	D	X	X	B	C	A	B	A	D	A	C	X	B	B
q1381748	1	X	B	A	B	D	D	D	X	D	C	A	X	X	B	A	C	X	D	A	X	B	D	X	X	B	C	A	B	A	D	A	C	X	B	B
q1382388	1	C	B	A	B	D	B	X	B	D	C	A	X	X	D	X	B	D	B	A	A	D	X	X	B	X	C	B	C	A	D	A	A	B	B	B
q1444273	1	C	B	A	B	D	A	A	D	D	C	A	C	D	D	A	C	B	D	A	D	C	C	C	B	A	C	C	B	D	C	B	C	C	C	D
q1320022	1	C	B	A	B	D	B	C	B	D	C	D	B	A	B	A	C	D	C	A	D	C	C	C	D	B	B	A	C	A	C	A	C	C	B	B
q1418002	1	B	B	A	B	C	B	C	X	D	C	D	X	X	X	X	C	A	C	A	A	B	X	C	B	A	C	A	C	D	A	A	D	A	C	C
q1417486	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	X	C	D	C	A	B	B	C	C	B	X	C	B	C	A	D	A	C	B	C	B
q1440341	1	C	A	A	B	D	B	D	B	C	C	A	X	C	B	D	A	C	C	A	X	D	C	C	B	X	D	D	C	D	D	B	C	C	C	C
q1417237	1	C	B	A	B	D	B	D	B	D	C	A	X	X	D	A	A	D	C	X	D	B	C	C	B	B	C	A	C	A	D	A	C	X	B	B
q1379868	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	A	C	C	C	A	D	D	X	X	B	X	C	B	C	A	D	A	C	B	B	B
q1344958	1	C	B	A	B	D	B	D	D	D	C	D	A	C	D	B	C	B	A	A	B	A	A	D	B	D	C	B	C	A	C	A	A	C	C	B
q1406174	1	C	B	A	C	D	C	D	B	D	C	A	X	X	B	X	C	X	X	X	D	C	D	X	X	B	C	X	B	A	D	A	C	C	B	B
q1345669	1	C	B	A	B	D	X	D	B	D	C	C	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	B	C	A	D	A	C	B	B	B
q1417875	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	C	B	B	C	B	C	A	D	A	C	B	B	B
q1378352	1	C	B	D	B	B	B	C	B	D	C	B	B	X	B	A	B	D	C	X	D	X	C	C	X	X	C	D	C	C	X	B	C	X	C	D
q1414415	1	C	B	D	B	B	B	C	B	D	C	B	B	X	B	A	B	D	C	X	D	X	C	C	X	X	C	D	C	C	X	B	C	X	C	D
q1461898	1	C	B	X	B	D	B	X	X	D	C	A	X	A	X	A	C	X	A	X	D	A	B	X	A	A	D	B	X	A	A	C	X	C	C	B
q1283121	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	C	C	C	B	C	B	C	A	D	B	C	B	C	B
q1362938	1	C	B	A	A	D	B	D	B	D	C	C	B	X	X	A	C	D	A	A	D	D	D	C	B	D	C	B	C	A	D	A	C	B	B	B
q1385582	1	C	B	A	B	D	B	D	B	D	C	D	X	X	B	A	C	D	C	A	D	B	X	C	B	X	C	B	C	A	D	A	C	B	B	B
q1418973	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	C	D	C	A	X	D	X	X	B	A	C	B	C	A	D	A	X	B	B	B
q1381117	1	C	B	A	B	D	B	D	B	D	C	A	A	C	B	C	C	D	C	C	D	D	C	C	C	B	C	B	C	A	D	A	C	B	B	B
q1332297	1	C	B	A	B	D	B	D	X	D	C	A	B	X	X	A	X	D	C	A	D	D	X	X	B	X	C	B	B	A	X	A	C	X	X	B
q1386017	1	C	B	A	B	D	B	D	A	D	C	C	C	D	B	B	C	D	C	C	C	D	C	C	B	B	C	B	B	D	C	A	B	C	C	B
q1378085	1	C	B	A	B	D	B	D	B	D	C	A	A	C	B	B	C	D	C	B	D	D	B	B	C	D	C	B	C	A	D	A	C	A	B	B
q1276901	1	C	B	A	D	B	B	D	B	C	C	A	A	B	B	A	D	D	D	A	C	B	B	C	B	D	B	B	B	A	A	A	C	A	B	B
q1390053	1	C	B	A	A	D	C	X	B	B	C	C	B	X	B	X	C	X	C	A	X	B	D	X	B	X	X	B	C	A	X	A	C	X	B	B
q1460371	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	A	D	D	A	D	B	C	C	C	A	D	A	C	B	B	B
q1417823	1	D	B	A	B	D	B	D	B	D	C	A	C	A	B	B	C	B	D	A	A	B	D	B	B	B	A	A	B	D	C	A	C	C	B	D
q1379616	1	C	B	A	B	D	B	X	X	D	C	C	X	X	X	C	C	X	C	A	X	C	X	X	B	X	C	A	C	A	D	B	C	A	B	D
q1417247	1	C	B	A	B	D	B	C	B	D	C	A	A	D	B	D	C	B	B	A	D	B	D	D	A	D	C	D	C	D	A	A	C	B	C	B
q1371063	1	B	B	A	B	D	B	A	B	D	C	X	D	X	B	A	C	X	C	X	X	A	B	B	B	D	B	A	C	D	X	B	C	X	B	D
q1429434	1	C	B	A	D	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	C	B	A	C	B	C	A	D	B	C	B	B	B
q1463756	1	C	B	A	B	D	B	D	B	D	C	A	B	B	A	A	C	B	C	A	A	B	D	C	B	A	C	B	C	A	D	A	A	A	B	D
q1386796	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	C	D	C	A	D	B	C	A	B	B	C	B	A	A	D	B	C	C	B	D
q1382040	1	C	B	A	D	D	B	D	B	D	C	A	A	A	B	X	C	X	C	A	D	B	C	X	B	X	C	B	B	D	D	B	X	C	B	B
q1381986	1	C	B	A	B	D	B	D	B	B	C	A	X	A	B	A	C	B	C	A	D	D	A	C	B	A	B	B	C	D	D	A	C	B	B	B
q1397206	1	C	B	A	B	D	B	A	B	D	C	A	B	C	A	A	C	D	C	A	X	B	D	C	B	B	C	B	C	A	D	A	C	B	B	B
q1372197	1	C	B	A	B	D	B	D	B	D	C	D	C	A	B	A	D	A	C	A	D	D	D	C	B	D	C	B	C	A	D	B	C	D	B	B
q1381087	1	B	C	A	B	D	B	D	B	D	C	D	C	D	B	C	C	D	C	A	D	B	C	D	B	A	B	B	C	B	D	C	A	C	A	D
q1318216	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	D	D	D	A	D	D	D	C	B	B	C	B	A	D	A	A	A	C	B	B
q1381500	1	X	B	A	B	D	B	D	B	B	C	A	B	A	B	B	C	D	D	A	D	B	C	C	B	B	C	A	C	A	A	B	C	C	B	B
q1381776	1	C	B	A	B	D	B	D	B	D	C	A	D	D	B	C	C	D	C	C	C	B	C	C	C	D	B	B	B	A	C	B	D	B	B	B
q1381658	1	C	B	A	B	D	B	D	X	D	C	A	B	X	B	D	X	D	C	X	D	C	X	C	C	B	C	B	B	A	D	A	C	B	C	B
q1381878	1	C	B	A	B	A	X	D	X	D	C	A	B	X	B	X	C	X	D	X	X	D	X	C	B	X	B	X	A	D	X	X	C	X	C	B
q1382376	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	B	B	D	C	B	A	A	A	B	A	C	B	B
q1461563	1	C	B	A	B	D	B	D	B	D	C	A	X	A	X	A	C	D	C	A	D	D	X	X	B	X	C	B	C	A	D	A	C	B	B	B
q1339726	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	B	D	D	D	C	B	B	C	B	B	A	D	A	C	B	C	C
q1347460	1	B	B	C	C	D	D	C	B	D	A	A	X	X	B	X	D	D	X	A	X	B	X	X	X	D	C	D	D	A	X	X	C	X	B	D
q1381632	1	C	B	B	B	D	X	D	B	D	C	A	B	X	B	A	C	D	C	A	X	B	X	C	B	B	C	A	B	A	A	A	A	X	B	B
q1381112	1	C	B	A	B	D	B	D	B	D	C	C	C	A	B	A	C	D	C	C	D	D	B	C	B	B	C	B	B	A	D	A	C	B	C	C
q1379929	1	C	B	A	B	D	B	D	B	D	C	A	C	A	B	A	C	D	C	C	D	D	B	C	B	B	C	B	B	A	D	A	C	B	C	C
q1445566	1	D	B	A	B	D	B	D	B	D	C	D	D	A	B	C	C	D	C	A	D	C	D	C	B	B	C	A	C	A	D	C	A	B	B	C
q1431909	1	X	B	C	B	D	B	D	X	D	D	B	C	X	B	X	D	D	C	A	C	D	D	X	X	X	B	D	D	A	D	A	C	B	B	B
q1332254	1	C	B	A	C	D	B	C	B	D	C	A	X	X	A	A	C	D	C	A	C	B	X	X	X	B	C	A	C	A	C	A	B	B	B	B
q1383847	1	C	B	A	C	D	B	D	B	D	C	D	B	A	B	A	C	D	C	A	A	B	D	X	C	X	C	B	C	A	D	A	C	C	B	B
q1362713	1	C	B	A	B	D	A	C	B	D	C	A	B	A	D	A	C	D	C	A	D	X	D	C	B	B	C	B	B	A	D	A	C	B	B	C
q1408544	1	C	B	A	B	D	B	D	B	D	C	A	A	X	B	A	C	D	C	A	A	B	D	X	C	X	C	B	B	D	D	A	C	A	B	B
q1386710	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	C	B	C	C	B	B	C	B	C	A	D	A	C	B	B	B
q1389840	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	B	D	A	D	B	D	C	B	A	C	A	C	D	A	B	A	D	B	B
q1390643	1	C	B	A	B	D	B	D	B	D	C	A	X	X	X	X	C	X	C	A	X	B	X	X	B	A	C	B	C	A	A	A	C	B	B	A
q1405354	1	C	B	A	D	D	B	D	B	B	C	A	A	C	B	B	C	C	B	A	X	C	C	A	A	B	C	D	C	A	C	C	C	C	C	D
q1340827	1	C	B	A	B	D	B	C	B	D	C	C	X	A	B	A	C	C	C	A	C	B	C	C	C	X	C	B	A	A	A	A	C	C	B	B
