ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
26552	1	C	C	D	B	B	A	D	D	C	C	D	C	D	A	A	C	B	C	E	C	X	X	A	E	A	E	X	X	E	C	A	A	D	C	B	X	D	A	D	E
26321	1	D	C	D	B	D	B	D	D	B	C	E	E	D	A	A	C	X	C	C	X	X	B	A	E	E	B	B	C	E	C	X	D	E	C	A	X	E	A	B	B
26968	1	D	C	B	B	C	B	D	D	C	B	E	C	C	A	A	B	X	C	E	X	C	B	A	E	D	C	D	X	E	X	X	X	X	X	B	C	C	A	C	D
26077	1	D	D	D	B	C	A	D	D	B	B	E	C	D	A	A	C	E	X	B	C	C	B	C	E	B	B	C	C	E	C	C	A	D	C	B	E	E	C	B	D
23966	1	C	C	D	A	X	B	D	D	B	C	E	C	A	A	A	C	X	B	E	X	E	C	A	B	D	X	B	X	D	B	A	X	X	X	E	C	E	E	A	D
25870	1	D	A	C	D	B	E	D	E	E	C	E	C	D	A	A	C	E	B	A	C	C	E	A	E	D	E	C	X	E	B	D	X	E	E	B	B	E	A	A	C
26650	1	X	C	D	B	B	B	D	E	E	B	A	C	X	X	A	C	X	B	X	X	X	E	A	E	B	B	B	D	X	X	X	X	X	X	B	X	E	X	X	A
24141	1	D	C	D	A	D	B	D	D	E	X	E	C	D	A	A	C	D	E	X	C	C	B	C	D	D	C	C	A	E	X	E	E	D	C	C	C	D	E	D	C
24280	1	C	D	D	B	X	A	D	D	B	C	E	C	D	D	A	C	D	B	B	C	C	B	A	E	B	X	B	C	C	A	D	C	B	A	B	C	B	X	D	A
25747	1	C	B	B	C	D	A	E	B	A	C	C	C	C	B	A	C	E	E	B	D	C	B	A	E	D	E	C	D	C	C	B	A	D	D	B	E	E	B	A	A
24824	1	E	C	B	A	B	A	D	B	C	B	B	C	C	D	A	D	E	C	A	C	D	B	A	E	B	B	B	D	C	C	X	X	E	A	B	C	A	A	X	B
25121	1	D	C	D	A	C	B	D	E	B	C	E	C	C	A	A	C	E	B	X	C	C	B	A	E	D	B	C	E	E	C	C	D	E	C	B	B	E	E	D	E
24695	1	D	C	D	A	X	B	D	D	X	C	E	C	X	D	A	C	D	C	A	C	A	B	E	D	B	X	B	X	E	X	X	X	D	D	B	C	B	D	B	X
25887	1	D	D	D	B	A	B	D	D	A	B	E	C	D	A	A	C	E	C	D	C	C	B	C	E	D	X	B	C	X	C	A	A	E	C	B	B	D	C	B	D
27009	1	C	D	D	A	E	B	D	E	X	C	X	E	A	A	E	D	D	B	D	X	X	X	A	X	B	X	X	X	E	B	X	C	X	X	D	X	E	X	C	X
27070	1	X	X	X	B	X	B	D	D	E	B	E	C	D	A	A	C	X	C	B	X	X	B	C	E	D	B	C	X	E	C	C	X	C	D	B	X	X	X	A	D
26399	1	E	C	D	B	B	B	D	E	D	B	E	A	C	A	E	B	X	C	A	X	X	B	C	E	C	B	B	X	X	X	E	D	X	C	B	B	D	X	D	B
26007	1	D	A	A	C	C	B	X	D	B	B	E	C	X	A	E	C	D	C	A	X	C	E	C	E	B	X	X	C	E	X	C	D	X	B	B	C	D	X	D	X
24380	1	D	C	D	B	X	B	D	E	B	C	E	C	D	D	A	X	X	E	B	X	C	B	A	E	D	B	B	X	E	X	X	X	X	X	B	X	D	X	B	A
26054	1	D	C	A	B	B	B	D	D	B	B	E	C	B	A	A	C	X	E	E	C	C	B	A	E	D	B	E	C	E	C	C	A	D	C	C	B	D	C	D	D
24948	1	X	C	A	B	E	B	D	D	B	B	E	C	X	A	A	C	X	C	D	B	E	X	A	E	B	A	X	X	E	X	X	C	D	X	A	X	X	X	E	A
26092	1	D	C	B	B	C	B	D	E	B	C	E	C	D	A	A	C	X	C	B	C	E	B	A	D	D	C	C	C	E	X	C	A	E	C	B	X	B	A	A	D
24765	1	D	D	B	B	B	B	D	D	E	B	E	C	D	B	A	C	E	C	B	C	X	B	A	E	D	E	C	A	E	X	X	A	E	C	B	C	C	A	C	A
27020	1	D	C	D	B	E	B	D	D	A	B	E	C	D	A	A	C	E	C	B	C	C	B	C	E	D	B	C	C	B	C	C	A	D	C	C	B	D	C	D	D
26668	1	D	C	D	B	X	A	D	E	X	B	E	C	A	A	A	C	X	X	B	A	C	B	A	E	B	X	C	C	E	C	D	X	E	C	B	C	E	C	X	D
27154	1	D	C	D	B	C	B	D	D	B	X	E	C	D	D	A	C	E	C	B	C	C	B	A	E	D	B	B	C	E	C	C	X	D	C	B	B	D	C	B	A
26509	1	D	C	D	D	C	B	D	D	B	B	C	C	D	A	A	C	X	C	E	C	C	B	C	A	B	E	C	C	X	C	C	A	D	X	B	X	A	E	B	A
26814	1	D	C	D	B	D	B	D	D	E	B	E	C	D	D	A	C	X	B	X	C	C	B	A	E	D	B	C	E	D	X	C	A	E	C	C	C	D	X	B	X
26191	1	X	X	D	B	C	X	D	D	X	B	E	C	D	A	A	C	E	C	X	C	X	B	A	E	D	C	B	E	E	C	A	X	X	D	X	X	D	X	X	C
26703	1	C	C	D	B	D	B	D	E	B	C	E	C	X	A	A	C	E	C	X	C	C	B	A	E	C	B	B	C	X	A	C	X	D	X	C	C	E	X	A	D
26541	1	X	C	D	B	E	A	D	D	E	C	E	C	X	E	A	C	X	C	E	C	C	B	C	E	C	E	B	X	E	X	B	A	E	X	B	E	B	A	X	E
26223	1	E	C	D	C	E	A	D	D	B	B	E	C	D	D	A	C	X	C	E	X	C	B	C	E	D	B	X	X	X	B	X	A	X	C	B	C	E	E	A	X
27400	1	D	C	D	B	X	B	D	D	B	C	E	C	D	A	A	C	X	C	X	X	X	B	A	E	B	B	C	X	E	C	C	X	X	C	B	C	D	X	C	D
24971	1	D	C	E	B	E	B	E	E	B	B	E	C	D	X	A	C	X	C	B	C	C	B	D	A	E	E	B	X	E	X	D	A	D	X	B	C	E	X	C	B
26757	1	X	X	D	C	C	B	D	E	B	B	E	B	D	X	A	C	X	C	X	C	C	B	A	E	D	E	C	E	E	X	X	X	D	X	B	C	E	X	B	A
25153	1	D	C	D	D	D	A	D	D	B	B	E	C	D	A	A	C	E	C	B	C	C	B	C	C	B	X	C	C	E	X	A	X	X	D	B	C	D	X	B	D
25267	1	D	C	D	X	B	A	D	D	X	X	E	C	D	A	A	C	X	C	X	X	X	X	C	E	X	B	C	X	E	X	X	X	D	X	B	X	D	X	X	D
27359	1	E	C	D	B	C	B	D	D	B	B	E	B	X	A	X	C	X	B	X	X	X	C	A	E	D	C	X	X	E	X	B	X	E	E	B	X	E	A	B	X
24706	1	D	C	D	B	X	E	D	D	B	B	E	C	D	A	A	C	E	C	B	C	B	B	A	E	D	E	X	C	X	C	C	C	B	C	D	X	D	A	D	D
27077	1	D	C	D	B	B	A	D	D	C	B	E	C	A	A	A	C	E	E	X	X	C	B	C	E	B	C	C	X	E	X	A	A	D	X	A	X	D	C	D	D
27001	1	D	C	D	A	B	B	D	D	B	C	E	D	D	D	A	C	A	C	X	D	C	B	A	E	E	C	B	X	E	C	E	X	X	X	B	C	D	X	C	D
24919	1	D	C	D	B	E	A	D	E	B	B	E	C	X	A	A	C	D	C	X	D	C	B	A	E	D	E	X	C	E	A	E	X	X	X	B	C	D	X	D	D
26467	1	X	C	D	B	B	B	D	D	B	B	E	C	D	A	A	C	E	C	X	C	C	B	A	E	D	B	C	C	E	C	E	A	D	C	C	X	D	C	D	D
26674	1	D	C	D	X	X	B	D	B	E	B	C	E	X	X	A	C	X	C	A	C	D	E	A	E	B	X	X	C	E	A	A	X	X	X	A	C	E	X	B	D
26143	1	D	C	D	B	B	B	D	D	B	C	E	C	D	A	A	C	D	B	A	C	C	B	C	A	D	B	B	C	D	A	C	C	D	C	B	B	E	C	D	C
24674	1	E	C	D	D	E	A	D	D	B	B	D	C	X	D	A	C	D	B	X	X	X	B	C	E	B	X	D	D	E	C	A	X	C	C	C	C	D	A	B	E
25908	1	X	C	D	B	B	B	D	D	B	B	B	C	D	A	A	D	X	C	B	C	C	B	A	E	B	B	B	X	E	C	A	D	D	X	B	D	E	X	A	B
27412	1	D	C	D	B	B	B	X	E	B	B	E	C	D	A	A	C	E	X	B	C	C	B	A	X	E	B	X	C	B	C	E	A	E	E	B	D	E	X	A	A
27383	1	D	C	D	B	D	B	X	E	X	B	E	C	D	C	A	C	E	C	X	C	C	E	A	E	D	B	C	E	E	X	X	X	D	X	B	C	E	A	X	B
27415	1	C	C	C	X	X	B	C	E	E	B	C	E	E	C	A	C	X	C	X	C	D	B	C	D	D	E	X	C	E	X	B	D	X	B	B	X	E	X	X	D
24753	1	C	C	D	B	X	A	D	D	A	C	E	C	A	X	A	C	X	B	B	C	C	X	C	A	B	B	A	C	E	C	B	A	D	C	X	C	E	B	X	D
26566	1	D	C	A	E	A	A	D	E	X	C	E	C	E	A	A	C	X	C	E	X	C	E	A	B	B	E	D	C	C	A	X	D	D	X	X	C	B	X	B	B
26748	1	X	X	D	B	B	B	A	D	B	B	E	C	D	X	A	C	X	C	E	C	C	B	A	E	D	B	C	C	E	X	C	A	E	B	B	C	D	A	C	D
