feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep
19xd50654	1	1	28	5	2	15	>=14	19	4	2	14	>=14	9	1	0	9	>=9	9	4	2	8	8-11	10	0	0	10	>=7
19xd91244	1	1	29	2	4	16	>=14	19	2	4	15	>=14	10	0	0	10	>=9	9	2	4	8	8-11	10	0	0	10	>=7
19xd74910	1	1	29	2	4	16	>=14	20	1	4	16	>=14	9	1	0	9	>=9	11	1	3	11	8-11	9	0	1	9	>=7
19xd54927	1	1	30	5	0	16	>=14	20	5	0	15	>=14	10	0	0	10	>=9	10	5	0	8	8-11	10	0	0	10	>=7
19xd52184	1	1	24	1	10	14	>=14	15	1	9	12	10-13	9	0	1	9	>=9	9	0	6	9	8-11	6	1	3	6	5-7
19xd11787	1	1	22	13	0	10	10-13	13	12	0	7	<10	9	1	0	9	>=9	9	6	0	7	<8	4	6	0	2	<5
19xd10701	1	1	26	9	0	13	10-13	16	9	0	10	10-13	10	0	0	10	>=9	7	8	0	4	<8	9	1	0	9	>=7
19xd71833	1	0	20	15	0	9	<10	13	12	0	7	<10	7	3	0	6	<7	7	8	0	4	<8	6	4	0	5	5-7
19xd12097	1	1	19	6	10	10	10-13	13	3	9	10	10-13	6	3	1	5	<7	6	3	6	5	<8	7	0	3	7	>=7
19xd51254	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	10	5	0	8	8-11	9	1	0	9	>=7
19xd79742	1	0	19	16	0	8	<10	10	15	0	4	<10	9	1	0	9	>=9	7	8	0	4	<8	3	7	0	1	<5
19xd75764	1	0	18	7	10	9	<10	10	7	8	6	<10	8	0	2	8	7-8	4	3	8	3	<8	6	4	0	5	5-7
19xd58186	1	0	20	15	0	9	<10	11	14	0	5	<10	9	1	0	9	>=9	5	10	0	2	<8	6	4	0	5	5-7
19xd58087	1	0	16	12	7	7	<10	8	10	7	4	<10	8	2	0	7	7-8	5	5	5	3	<8	3	5	2	1	<5
19xd68213	1	1	30	5	0	16	>=14	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11	9	1	0	9	>=7
19xd77126	1	1	25	10	0	12	10-13	15	10	0	9	<10	10	0	0	10	>=9	8	7	0	6	<8	7	3	0	6	5-7
19xd49972	1	1	28	7	0	15	>=14	18	7	0	13	10-13	10	0	0	10	>=9	12	3	0	11	8-11	6	4	0	5	5-7
19xd45825	1	1	23	7	5	12	10-13	14	6	5	10	10-13	9	1	0	9	>=9	9	2	4	8	8-11	5	4	1	4	<5
19xd69903	1	1	28	6	1	15	>=14	19	5	1	14	>=14	9	1	0	9	>=9	11	3	1	10	8-11	8	2	0	7	>=7
19xd97605	1	1	29	5	1	16	>=14	20	4	1	15	>=14	9	1	0	9	>=9	10	4	1	9	8-11	10	0	0	10	>=7
19xd32011	1	1	27	8	0	14	>=14	17	8	0	11	10-13	10	0	0	10	>=9	9	6	0	7	<8	8	2	0	7	>=7
19xd19737	1	0	19	16	0	8	<10	11	14	0	5	<10	8	2	0	7	7-8	8	7	0	6	<8	3	7	0	1	<5
19xd18897	1	1	26	9	0	13	10-13	16	9	0	10	10-13	10	0	0	10	>=9	11	4	0	10	8-11	5	5	0	3	<5
19xd37850	1	1	26	8	1	13	10-13	18	7	0	13	10-13	8	1	1	8	7-8	12	3	0	11	8-11	6	4	0	5	5-7
19xd62571	1	1	22	13	0	10	10-13	12	13	0	6	<10	10	0	0	10	>=9	7	8	0	4	<8	5	5	0	3	<5
19xd73492	1	1	25	5	5	13	10-13	16	5	4	11	10-13	9	0	1	9	>=9	8	3	4	7	<8	8	2	0	7	>=7
19xd76974	1	0	16	6	13	8	<10	9	5	11	6	<10	7	1	2	7	7-8	7	1	7	7	<8	2	4	4	1	<5
19xd60898	1	1	25	10	0	12	10-13	16	9	0	10	10-13	9	1	0	9	>=9	11	4	0	10	8-11	5	5	0	3	<5
19xd54998	1	1	30	0	5	17	>=14	20	0	5	16	>=14	10	0	0	10	>=9	10	0	5	10	8-11	10	0	0	10	>=7
19xd35779	1	1	30	5	0	16	>=14	20	5	0	15	>=14	10	0	0	10	>=9	13	2	0	12	>=12	7	3	0	6	5-7
19xd38308	1	0	12	12	11	5	<10	8	6	11	5	<10	4	6	0	2	<7	4	3	8	3	<8	4	3	3	3	<5
19xd67722	1	1	24	6	5	13	10-13	16	5	4	11	10-13	8	1	1	8	7-8	11	1	3	11	8-11	5	4	1	4	<5
19xd16329	1	1	28	7	0	15	>=14	18	7	0	13	10-13	10	0	0	10	>=9	11	4	0	10	8-11	7	3	0	6	5-7
19xd59037	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	12	3	0	11	8-11	7	3	0	6	5-7
19xd83391	1	1	25	10	0	12	10-13	16	9	0	10	10-13	9	1	0	9	>=9	10	5	0	8	8-11	6	4	0	5	5-7
19xd50282	1	0	18	10	7	8	<10	12	8	5	7	<10	6	2	2	5	<7	5	5	5	3	<8	7	3	0	6	5-7
19xd27181	1	1	22	8	5	11	10-13	14	6	5	10	10-13	8	2	0	7	7-8	7	3	5	6	<8	7	3	0	6	5-7
19xd94245	1	1	26	7	2	14	>=14	17	6	2	12	10-13	9	1	0	9	>=9	8	5	2	6	<8	9	1	0	9	>=7
19xd12942	1	1	28	6	1	15	>=14	20	4	1	15	>=14	8	2	0	7	7-8	12	2	1	11	8-11	8	2	0	7	>=7
19xd72822	1	1	24	8	3	12	10-13	14	8	3	9	<10	10	0	0	10	>=9	7	5	3	5	<8	7	3	0	6	5-7
19xd34539	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	13	2	0	12	>=12	10	0	0	10	>=7
19xd30756	1	1	24	11	0	12	10-13	14	11	0	8	<10	10	0	0	10	>=9	10	5	0	8	8-11	4	6	0	2	<5
19xd90915	1	1	23	4	8	12	10-13	13	4	8	9	<10	10	0	0	10	>=9	5	2	8	4	<8	8	2	0	7	>=7
19xd76997	1	0	18	16	1	7	<10	10	14	1	4	<10	8	2	0	7	7-8	6	8	1	3	<8	4	6	0	2	<5
19xd19694	1	1	24	9	2	12	10-13	15	8	2	10	10-13	9	1	0	9	>=9	8	5	2	6	<8	7	3	0	6	5-7
19xd83019	1	1	30	4	1	16	>=14	21	3	1	16	>=14	9	1	0	9	>=9	12	2	1	11	8-11	9	1	0	9	>=7
19xd92574	1	1	26	5	4	14	>=14	18	3	4	14	>=14	8	2	0	7	7-8	11	1	3	11	8-11	7	2	1	6	5-7
19xd92315	1	1	29	4	2	16	>=14	19	4	2	14	>=14	10	0	0	10	>=9	12	1	2	12	>=12	7	3	0	6	5-7
19xd62362	1	0	18	17	0	7	<10	11	14	0	5	<10	7	3	0	6	<7	6	9	0	3	<8	5	5	0	3	<5
19xd60088	1	1	31	2	2	17	>=14	23	1	1	18	>=14	8	1	1	8	7-8	15	0	0	15	>=12	8	1	1	8	>=7
19xd13646	1	1	22	9	4	11	10-13	13	9	3	8	<10	9	0	1	9	>=9	9	5	1	7	<8	4	4	2	3	<5
19xd49102	1	1	22	13	0	10	10-13	13	12	0	7	<10	9	1	0	9	>=9	7	8	0	4	<8	6	4	0	5	5-7
19xd93035	1	0	21	14	0	9	<10	13	12	0	7	<10	8	2	0	7	7-8	7	8	0	4	<8	6	4	0	5	5-7
19xd64747	1	1	28	3	4	15	>=14	19	2	4	15	>=14	9	1	0	9	>=9	10	1	4	10	8-11	9	1	0	9	>=7
19xd77275	1	1	23	12	0	11	10-13	14	11	0	8	<10	9	1	0	9	>=9	9	6	0	7	<8	5	5	0	3	<5
19xd42996	1	0	17	10	8	8	<10	9	8	8	5	<10	8	2	0	7	7-8	2	5	8	0	<8	7	3	0	6	5-7
19xd54042	1	0	16	15	4	6	<10	8	14	3	3	<10	8	1	1	8	7-8	4	8	3	1	<8	4	6	0	2	<5
19xd28948	1	1	34	0	1	19	>=14	24	0	1	19	>=14	10	0	0	10	>=9	15	0	0	15	>=12	9	0	1	9	>=7
19xd83240	1	1	34	0	1	19	>=14	24	0	1	19	>=14	10	0	0	10	>=9	15	0	0	15	>=12	9	0	1	9	>=7
19xd69767	1	1	27	8	0	14	>=14	19	6	0	14	>=14	8	2	0	7	7-8	11	4	0	10	8-11	8	2	0	7	>=7
19xd51318	1	1	23	12	0	11	10-13	13	12	0	7	<10	10	0	0	10	>=9	8	7	0	6	<8	5	5	0	3	<5
19xd53442	1	1	21	13	1	10	10-13	14	10	1	9	<10	7	3	0	6	<7	9	5	1	7	<8	5	5	0	3	<5
19xd20050	1	1	24	4	7	13	10-13	16	3	6	12	10-13	8	1	1	8	7-8	9	2	4	8	8-11	7	1	2	7	>=7
19xd37540	1	0	11	13	11	4	<10	6	10	9	2	<10	5	3	2	4	<7	1	5	9	0	<8	5	5	0	3	<5
