feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
13hi44404	1	C	D	D	D	C	A	D	D	B	B	E	C	E	A	D	D	X	A	B	E	X	B	C	D	X	C	C	D	C	B	X	B	C	A	B	E	A	E	X	X
13hi59970	1	D	C	D	B	B	A	D	D	B	B	E	C	C	A	D	B	X	C	E	E	B	E	A	X	B	C	A	X	B	C	X	X	C	A	X	E	B	A	X	E
13hi80673	1	D	C	D	B	C	B	D	D	B	B	E	A	C	A	D	A	E	C	B	E	B	E	B	B	C	C	C	E	B	C	D	B	C	D	A	E	D	X	E	C
13hi42609	1	D	C	D	B	C	B	D	D	B	B	E	A	C	A	E	X	B	C	B	E	B	D	B	C	C	C	X	X	X	B	E	E	C	E	X	X	D	A	E	C
13hi25656	1	D	C	D	B	C	A	D	E	C	B	C	D	C	A	D	A	E	C	B	E	C	E	C	C	C	C	C	X	B	C	D	B	C	E	A	E	D	A	E	C
13hi87655	1	D	C	D	B	C	A	D	D	C	B	E	X	C	A	A	X	X	A	B	E	B	E	C	B	A	C	X	X	B	C	D	D	C	A	A	E	D	X	X	X
13hi41358	1	D	C	D	B	C	B	D	E	B	B	E	A	C	A	D	E	D	C	B	E	B	E	A	X	E	C	C	X	B	B	B	B	D	E	A	B	C	A	D	C
13hi76500	1	E	D	A	X	C	B	X	E	X	X	E	A	E	A	D	A	X	C	X	A	B	E	B	C	C	C	D	X	C	C	D	X	X	E	B	E	X	A	E	D
13hi76362	1	C	D	A	C	C	B	D	D	E	A	E	D	C	A	E	A	A	C	B	E	B	E	B	E	A	E	X	C	C	D	D	B	B	E	E	E	D	D	E	D
13hi94354	1	D	D	D	D	X	B	D	E	B	B	E	A	C	E	D	D	E	A	E	E	X	D	B	E	E	E	C	X	C	C	X	X	X	E	X	D	B	X	E	D
13hi49151	1	D	C	A	X	E	X	X	X	X	C	E	A	C	A	X	X	X	X	B	D	C	X	X	X	B	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
13hi73916	1	D	C	D	B	B	A	D	D	E	B	B	D	C	A	D	E	D	C	B	E	B	D	C	C	B	C	X	B	B	C	D	D	C	C	A	E	B	E	A	A
13hi74134	1	D	C	D	D	C	B	D	D	B	B	D	A	C	A	C	X	E	C	B	E	B	E	B	E	C	C	X	X	B	C	D	D	C	E	X	X	B	A	X	C
13hi84947	1	C	C	D	B	B	B	D	B	B	C	E	A	C	A	D	B	A	C	B	X	B	E	B	X	X	C	C	X	C	C	D	B	X	A	A	E	D	E	X	D
