feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
19wb56315	1	C	B	A	B	D	B	D	B	D	C	A	A	C	B	A	D	D	C	A	D	D	C	C	B	B	B	B	C	A	D	C	C	B	B	B
19wb80989	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	B	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	D
19wb37823	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	X	C	A	C	A	X	B	D	C	X	B	C	B	C	A	D	C	C	B	X	C
19wb26177	1	D	B	D	B	D	D	C	B	D	C	A	C	B	B	B	B	B	B	A	C	B	D	D	B	A	C	B	D	A	A	B	C	B	B	C
19wb38695	1	C	B	A	C	D	X	D	B	D	C	A	B	X	B	B	C	D	C	A	X	B	X	X	B	B	C	D	A	A	C	A	C	C	D	D
19wb76881	1	X	B	A	D	D	B	X	B	D	C	A	X	B	B	B	C	X	C	D	C	D	D	X	X	X	C	A	C	D	X	B	C	B	B	B
19wb64310	1	C	B	A	B	D	B	D	B	D	C	C	A	A	B	A	C	D	C	A	D	D	C	C	B	X	C	X	C	D	D	A	B	X	C	B
19wb78060	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	D	C	B	B	A	A	B	C	B	B	B
19wb92906	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	D	A	D	D	C	C	B	B	C	B	X	A	D	A	C	B	B	B
19wb32459	1	A	B	A	B	D	B	D	B	D	C	A	X	X	X	A	C	D	C	A	D	D	D	C	B	D	C	B	C	A	D	C	C	B	B	B
19wb28198	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	C	C	A	D	A	C	B	B	B
19wb90699	1	C	B	A	B	D	A	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb67288	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb18932	1	C	B	A	B	D	B	D	B	D	C	D	X	X	B	A	C	D	C	A	C	D	D	C	B	B	X	B	C	A	X	B	C	X	B	X
19wb99517	1	C	B	A	B	D	B	C	B	D	C	A	B	X	B	A	C	B	C	A	B	B	D	X	B	B	C	B	C	A	D	A	D	B	B	B
19wb86936	1	C	B	A	B	D	B	D	B	D	C	A	B	A	C	A	C	D	C	A	D	D	D	C	D	B	C	B	C	A	A	B	C	C	B	B
19wb98599	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	X	D	A	X	C	X	C	B	A	C	X	X	A	D	C	C	X	C	B
19wb99174	1	C	B	A	B	D	X	D	B	D	C	A	B	A	B	A	C	D	C	X	C	D	D	X	B	X	C	B	A	D	B	C	D	C	A	B
19wb67790	1	C	B	A	C	D	C	A	B	D	C	C	B	X	B	A	C	D	C	A	D	B	D	D	B	D	C	C	B	A	D	A	C	B	B	B
19wb15271	1	C	B	A	B	D	B	B	A	D	C	A	X	C	B	C	C	D	A	A	D	A	C	A	C	B	C	A	C	C	D	A	C	A	B	C
19wb74220	1	C	B	A	A	D	D	D	B	D	C	A	D	A	D	B	C	D	C	A	A	D	D	C	B	B	B	B	C	A	D	A	C	B	C	D
19wb17220	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb23428	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb91198	1	C	B	A	B	D	B	C	B	D	C	D	B	A	B	A	C	C	C	A	D	B	C	C	B	B	C	B	C	C	D	C	C	B	B	B
19wb49302	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	D	C	B	X	C	B	C	A	D	A	C	B	B	B
19wb55105	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	D	D	X	B	B	C	B	C	A	D	A	C	B	B	B
19wb35620	1	C	B	A	D	D	B	D	B	D	C	A	A	A	B	B	C	A	C	A	D	B	D	D	B	X	C	B	B	A	D	B	C	B	B	B
19wb10340	1	C	B	A	B	D	B	D	B	D	C	A	C	X	B	A	C	D	C	A	D	D	C	X	X	B	C	B	A	A	D	A	C	B	C	B
19wb77232	1	X	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	X	C	A	D	B	D	X	B	B	C	B	C	A	D	A	X	C	A	C
19wb69209	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	C	C	B	B	C	A	C	A	D	A	C	B	B	B
19wb73121	1	C	B	A	B	D	B	D	B	D	C	X	X	X	D	A	C	D	X	A	D	D	C	X	B	B	X	B	C	A	D	A	C	B	B	B
19wb50838	1	C	B	A	A	D	B	C	C	B	C	A	D	X	B	A	C	D	C	A	A	A	C	X	B	D	C	B	A	A	A	B	A	B	B	C
19wb27564	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	C	D	C	B	B	D	C	B	C	A	D	A	C	C	B	B
