feedbackCode	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	academisch-redenerenGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep
13ew75797	1	1	6	2	2	6	5-7	16	9	5	14	<15	22	11	7	10	10-13
13ew33990	1	1	9	0	1	9	>=7	23	6	1	22	>=20	32	6	2	15	>=14
13ew51423	1	1	9	1	0	9	>=7	16	10	4	14	<15	25	11	4	11	10-13
13ew34203	1	1	8	2	0	8	>=7	17	8	5	15	15-20	25	10	5	11	10-13
13ew78322	1	1	6	0	4	6	5-7	15	7	8	13	<15	21	7	12	10	10-13
13ew84175	1	1	6	4	0	5	5-7	17	7	6	15	15-20	23	11	6	10	10-13
13ew63925	1	0	5	4	1	4	<5	12	12	6	9	<15	17	16	7	7	<10
13ew74793	1	0	6	4	0	5	5-7	14	8	8	12	<15	20	12	8	9	<10
13ew82905	1	1	8	1	1	8	>=7	17	5	8	16	15-20	25	6	9	12	10-13
13ew44811	1	0	6	4	0	5	5-7	13	11	6	10	<15	19	15	6	8	<10
13ew48260	1	0	6	2	2	6	5-7	13	9	8	11	<15	19	11	10	8	<10
13ew24834	1	1	7	3	0	6	5-7	18	7	5	16	15-20	25	10	5	11	10-13
13ew28801	1	1	5	2	3	5	5-7	15	1	14	15	15-20	20	3	17	10	10-13
13ew94807	1	0	9	1	0	9	>=7	6	12	12	3	<15	15	13	12	6	<10
13ew23473	1	1	8	1	1	8	>=7	20	7	3	18	15-20	28	8	4	13	10-13
13ew16784	1	1	7	3	0	6	5-7	18	6	6	17	15-20	25	9	6	11	10-13
13ew69961	1	0	7	3	0	6	5-7	12	12	6	9	<15	19	15	6	8	<10
13ew47523	1	1	7	3	0	6	5-7	15	8	7	13	<15	22	11	7	10	10-13
13ew55494	1	1	8	1	1	8	>=7	26	2	2	26	>=20	34	3	3	17	>=14
13ew64291	1	0	6	2	2	6	5-7	8	13	9	5	<15	14	15	11	5	<10
13ew28745	1	1	8	2	0	8	>=7	19	11	0	16	15-20	27	13	0	12	10-13
13ew30034	1	0	6	4	0	5	5-7	11	13	6	8	<15	17	17	6	6	<10
13ew56398	1	0	8	1	1	8	>=7	14	12	4	11	<15	22	13	5	9	<10
13ew33540	1	0	7	2	1	7	>=7	15	11	4	12	<15	22	13	5	9	<10
13ew90706	1	0	6	2	2	6	5-7	15	9	6	13	<15	21	11	8	9	<10
13ew38990	1	0	3	5	2	2	<5	10	12	8	7	<15	13	17	10	4	<10
13ew77164	1	0	5	4	1	4	<5	16	9	5	14	<15	21	13	6	9	<10
13ew56292	1	0	3	6	1	2	<5	9	15	6	5	<15	12	21	7	3	<10
13ew14901	1	1	6	2	2	6	5-7	19	8	3	17	15-20	25	10	5	11	10-13
13ew60330	1	1	8	2	0	8	>=7	22	3	5	21	>=20	30	5	5	14	>=14
13ew71781	1	0	6	4	0	5	5-7	15	11	4	12	<15	21	15	4	9	<10
13ew29445	1	0	7	3	0	6	5-7	5	24	1	0	<15	12	27	1	3	<10
13ew85947	1	0	4	6	0	3	<5	12	14	4	9	<15	16	20	4	6	<10
13ew13826	1	0	5	5	0	4	<5	13	10	7	11	<15	18	15	7	7	<10
13ew87543	1	0	9	1	0	9	>=7	13	17	0	9	<15	22	18	0	9	<10
13ew41265	1	0	5	5	0	4	<5	16	10	4	14	<15	21	15	4	9	<10
13ew64977	1	1	7	2	1	7	>=7	18	9	3	16	15-20	25	11	4	11	10-13
13ew40413	1	0	5	5	0	4	<5	6	14	10	3	<15	11	19	10	3	<10
13ew48495	1	0	6	4	0	5	5-7	10	17	3	6	<15	16	21	3	5	<10
13ew23708	1	0	5	5	0	4	<5	12	12	6	9	<15	17	17	6	6	<10
13ew54737	1	0	6	3	1	5	5-7	7	14	9	4	<15	13	17	10	4	<10
13ew35964	1	0	6	4	0	5	5-7	10	15	5	6	<15	16	19	5	6	<10
13ew71945	1	0	8	2	0	8	>=7	13	13	4	10	<15	21	15	4	9	<10
13ew99171	1	0	7	3	0	6	5-7	12	14	4	9	<15	19	17	4	7	<10
13ew44829	1	0	8	2	0	8	>=7	12	15	3	8	<15	20	17	3	8	<10
13ew25327	1	0	5	5	0	4	<5	8	20	2	3	<15	13	25	2	3	<10
13ew89926	1	0	7	3	0	6	5-7	10	11	9	7	<15	17	14	9	7	<10
13ew78730	1	0	7	2	1	7	>=7	12	13	5	9	<15	19	15	6	8	<10
13ew44301	1	0	4	6	0	3	<5	17	8	5	15	15-20	21	14	5	9	<10
13ew53408	1	0	7	2	1	7	>=7	8	18	4	4	<15	15	20	5	5	<10
13ew93013	1	1	8	2	0	8	>=7	14	10	6	12	<15	22	12	6	10	10-13
13ew71309	1	0	5	5	0	4	<5	11	15	4	7	<15	16	20	4	6	<10
