Rnummer,plan,concepten,wiskundig,rekentechnisch,interpretatie
R_cLLCNkYcbcbXS6d,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.0
R_5d0NzFUVzviSEZX,1.0,0.5714285714285714,0.9083333333333333,1.0,0.2
R_2atVyeocPgNFby5,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_2QywrnU9F7xJWKe,0.8333333333333334,0.5714285714285714,0.7595238095238095,1.0,0.0
R_vCRfz4Orq3noNi1,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_6Mg2Qbv3qWcDlAt,0.8333333333333334,0.5714285714285714,0.8166666666666667,0.5625,0.4
R_3fN5MBK1OKNhGmV,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.2
R_26nDkftPXuMWLMY,1.0,0.5714285714285714,0.7595238095238095,1.0,0.6
R_uaFo2ST3Aoyw9vH,0.3333333333333333,0.5714285714285714,0.7952380952380952,1.0,0.4
R_31RfckgTff8yBLe,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_ReQ9lGinoGv4LzH,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.6
R_ZxgPI8J9zy0N2Jb,1.0,0.5714285714285714,0.8666666666666667,1.0,0.8
R_3qxkwCOoNAcCSPN,0.8333333333333334,0.42857142857142855,0.8666666666666667,1.0,0.8
R_3kdCw2Rd1U6a2jf,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_5grkrEI1iy1Qvfz,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_1LUnIMqNP1yN0XZ,1.0,0.5714285714285714,0.7952380952380952,1.0,0.6
R_1GvocAPHBw4C80d,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_1jqgYlG6aBi17U7,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_4SMp5mYF3E6KzUB,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_3CVjrbxII7GnhWx,0.8333333333333334,0.5714285714285714,0.7238095238095238,0.6428571428571428,0.2
R_1CyBue7QBsmqOMA,0.8333333333333334,0.5714285714285714,0.6880952380952381,1.0,0.8
R_2YKwLDo7dhsqwTv,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_2V7RJdsYKT5Yph0,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_1oe91dD1lLTlZWQ,1.0,0.5714285714285714,0.9083333333333333,1.0,0.2
R_1eCyo0lxrJk62vT,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.2
R_3KJZv4jSsceXO0g,1.0,0.5714285714285714,0.95,1.0,0.6
R_3gRDi6eVZnzNAnh,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_u92Iki2NITpOOkN,1.0,0.5714285714285714,0.8666666666666667,1.0,0.8
R_2yfpgYrHW9FDKPT,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_1IQ6X8Ir0uVAvev,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_2t4KgALPVB94lHY,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_ZxHlwhQBnTOeTXX,1.0,0.5714285714285714,0.8666666666666667,1.0,0.0
R_3NC06ScNGyNjsXb,1.0,0.8571428571428571,0.8666666666666667,1.0,0.6
R_3ksQfooR1vjYsWM,1.0,0.8571428571428571,0.8666666666666667,1.0,0.6
R_1oAwP0OaVmZWQVW,1.0,0.5714285714285714,0.7952380952380952,1.0,0.2
R_1kUocoUpKiTJIgW,1.0,0.5714285714285714,0.8666666666666667,0.7857142857142857,0.6
R_3iKXUVb00DvnfpG,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_3xc0g5FKJETNxQJ,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_1CHDUrso3GeIsQD,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_1Hqmx5InPDB0Zwt,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_3MnE7VJSUv4hPoK,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_3hz09V11TkgGHOg,0.8333333333333334,0.5714285714285714,0.7952380952380952,1.0,0.2
R_1YQkA96Xk4oJnNv,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_2zwMdDInMTNoax8,1.0,0.5714285714285714,0.8166666666666667,1.0,0.4
R_sT0AWkmpzyiExFv,1.0,0.5714285714285714,0.8666666666666667,1.0,0.0
R_1eRUDAwRVqxxcw9,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_1IFZshkf9rK6P8x,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.2
R_tEY861FkutS1jsB,1.0,0.8571428571428571,0.7595238095238095,1.0,0.6
R_2zMzorOF9lg2mJa,1.0,0.5714285714285714,0.8666666666666667,1.0,0.8
R_3qIgDpokWHNktCE,0.8333333333333334,0.5714285714285714,0.7595238095238095,1.0,0.6
R_3RjY33KGYtoDvKo,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.4
R_31ZO7EN5AvjHllz,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_2zvF5tgsO7iuMpB,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.2
R_1GJOyPFyHZIYfgr,1.0,0.14285714285714285,0.8666666666666667,1.0,0.2
R_1NkTe3ewmCMbbY2,0.8333333333333334,0.5714285714285714,0.8666666666666667,1.0,0.6
R_2SrgbDLjNDMg5EI,1.0,0.5714285714285714,0.8666666666666667,0.6875,0.8
R_2xxTfGV9dVTLcjv,1.0,1.0,0.8666666666666667,1.0,0.2
R_3O3wzWs5rmPZcsA,1.0,0.42857142857142855,0.8666666666666667,0.7946428571428572,0.0
R_1OKdCTQHPXog9fC,1.0,0.5714285714285714,0.9142857142857143,0.8571428571428572,0.6
R_2TsDbR9M0wy7k8n,0.8333333333333334,0.5714285714285714,0.8666666666666667,0.6875,0.2
R_1mXxVCoSAeuTodn,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_yQEiCTvxrjeI785,1.0,0.5714285714285714,0.8666666666666667,1.0,0.6
R_31R88IS3KrgHYPx,0.8333333333333334,0.5714285714285714,0.7595238095238095,1.0,0.2
R_023ZeBTlEq4Wev7,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_3jVFyQhKPXLTWp4,1.0,0.5714285714285714,0.8666666666666667,0.7946428571428572,0.4
R_2QZ1Ya09hBEk9Dl,0.8333333333333334,0.8571428571428571,0.7952380952380952,1.0,0.0
R_2eVgHLfEzZ7q4zm,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_2uNWi7v3uicNYfg,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
R_3CWsYWSQlK41wli,1.0,0.5714285714285714,0.8666666666666667,1.0,0.2
R_3p3XRyZ7KnwuZwx,1.0,0.5714285714285714,0.8666666666666667,1.0,0.4
