ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
q1368556	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
q1394888	1	X	C	B	A	D	X	D	A	X	D	X	X	X	X	C	X	X	D	X	X	X	X
q1422408	1	D	C	B	B	D	X	C	A	X	D	X	X	X	D	C	X	B	X	D	X	B	X
q1382421	1	D	C	B	B	C	A	D	A	X	A	X	C	X	D	D	X	X	C	D	C	B	D
q1441014	1	D	B	D	D	D	X	D	C	X	B	X	X	X	D	C	X	X	D	A	C	B	B
q1291366	1	D	C	B	B	D	X	D	A	X	X	B	X	X	X	X	X	X	X	X	X	B	X
q1441105	1	D	C	B	B	D	X	C	A	X	B	C	X	X	D	D	C	B	D	X	A	D	D
q1407799	1	D	C	B	B	D	A	C	A	C	D	B	A	B	D	B	A	B	D	B	C	B	D
q1398396	1	D	C	B	C	D	C	C	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
q1387842	1	D	C	B	B	D	A	D	A	C	D	B	A	X	C	C	A	B	D	D	X	B	D
q1381746	1	D	C	B	B	D	A	X	A	C	B	B	A	X	D	D	X	C	D	A	C	X	D
