ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
30151	1	D	X	D	B	X	A	A	B	C	C	B	D	A	C	A	B	C	B	B	D	C	A	D	A	C	C	B	D	D	D
30174	1	B	C	B	B	C	D	C	C	B	C	B	B	C	C	A	D	D	C	A	B	C	C	B	D	D	C	B	D	D	C
30221	1	A	C	C	B	D	B	A	B	C	B	B	A	C	C	C	B	B	B	D	B	A	D	B	C	A	C	A	D	C	C
30171	1	D	X	A	X	B	A	X	A	D	A	B	A	B	C	A	B	C	C	A	B	B	C	X	X	B	B	A	X	B	D
30132	1	C	C	D	B	D	C	D	C	B	C	B	B	A	B	C	B	B	C	C	C	A	A	B	B	C	C	A	D	C	D
30189	1	B	C	X	X	X	D	A	A	X	X	B	B	C	A	A	B	A	A	D	B	C	C	B	C	A	C	B	D	C	D
30138	1	D	D	A	A	B	D	B	C	B	C	A	B	B	C	X	A	D	B	D	B	B	X	C	X	D	X	A	D	D	A
30118	1	B	D	B	C	A	B	D	D	C	C	B	A	A	C	A	B	A	B	D	B	A	D	B	C	A	C	B	D	C	A
30216	1	D	D	D	B	B	X	C	C	B	C	B	A	A	C	A	B	B	B	D	B	B	C	B	C	B	C	B	A	C	C
30172	1	D	C	C	X	B	B	C	C	X	A	B	A	X	C	A	B	B	C	A	D	A	C	B	C	C	A	B	D	D	C
30177	1	A	C	B	B	C	D	C	A	A	C	B	A	B	C	B	A	B	D	A	B	A	C	B	C	A	D	A	D	D	B
30142	1	C	B	D	C	B	D	A	C	C	B	B	A	C	B	D	D	C	D	A	B	D	A	B	C	B	C	B	D	B	A
30162	1	B	X	X	X	X	X	A	B	X	B	B	X	B	C	A	B	A	A	C	D	A	B	B	C	B	C	A	D	D	C
30167	1	B	X	C	D	X	X	A	C	B	B	B	A	A	B	X	D	B	X	A	X	C	B	B	X	A	D	A	A	B	C
30145	1	D	B	B	A	A	B	A	B	D	D	B	C	X	X	X	D	X	B	B	B	X	A	X	X	X	B	B	D	C	C
30166	1	B	C	B	X	X	D	C	X	D	C	A	X	X	X	X	A	B	B	D	B	A	X	X	X	X	X	B	B	X	D
30055	1	A	A	C	X	X	X	A	C	D	B	B	X	C	C	X	B	A	X	B	C	B	A	B	C	A	C	A	D	D	C
30028	1	C	X	X	B	X	A	A	X	C	X	A	B	A	D	A	B	B	D	D	B	X	D	X	C	B	D	B	X	B	X
30074	1	B	X	X	C	B	B	X	X	A	B	A	B	X	X	X	D	A	A	A	A	D	A	X	X	B	X	A	D	B	C
30117	1	B	D	A	D	B	A	A	C	D	C	B	A	A	C	B	A	C	A	A	D	B	D	B	D	C	D	A	D	D	C
30070	1	B	A	D	D	B	A	A	D	X	B	B	A	C	A	A	B	D	C	A	A	B	C	B	B	B	C	X	X	D	B
30068	1	B	X	X	X	B	X	C	C	X	A	B	A	X	C	X	B	B	D	D	B	B	D	A	C	B	X	A	D	D	D
30009	1	B	X	X	D	B	C	C	C	A	B	B	A	B	C	D	A	C	B	A	B	B	B	A	C	A	D	B	A	C	D
30094	1	D	X	C	D	B	B	A	C	D	C	B	A	X	C	X	B	X	B	D	B	B	A	B	D	B	C	B	B	C	X
30101	1	C	D	D	D	B	B	A	C	A	C	B	A	A	B	A	B	B	D	D	D	B	D	B	C	A	C	A	D	B	C
30007	1	D	D	D	B	B	C	D	C	A	B	B	A	B	C	C	B	C	B	D	B	C	B	C	C	B	C	B	C	D	C
30077	1	B	A	D	C	A	C	A	C	B	C	D	A	C	C	B	C	B	D	C	A	B	C	B	B	A	C	D	D	C	D
30079	1	A	X	C	C	B	X	B	X	C	C	B	A	C	C	X	B	A	A	D	A	A	C	B	B	A	C	X	B	C	C
30005	1	D	C	D	B	B	B	A	C	C	B	B	A	B	A	B	B	D	B	A	B	A	C	B	C	A	B	A	A	B	C
30085	1	C	B	A	D	B	B	B	C	C	C	B	A	C	B	B	B	A	A	D	B	B	C	B	C	A	C	B	B	C	C
30027	1	B	D	D	D	B	D	A	D	B	B	B	A	A	A	A	A	C	B	D	D	B	C	C	D	B	C	D	A	D	B
30046	1	C	D	A	D	B	D	C	C	A	D	B	A	B	C	B	A	D	D	B	D	D	B	X	X	A	C	A	D	B	C
30099	1	C	B	D	A	C	A	A	D	B	C	A	B	C	D	B	A	C	B	D	D	B	B	D	C	B	C	A	B	C	C
30026	1	D	B	B	X	X	C	A	C	X	D	B	B	X	C	X	D	B	X	B	X	C	A	B	X	D	C	B	D	D	D
30113	1	B	B	A	D	A	C	A	X	X	B	B	C	A	A	B	B	C	A	B	B	A	X	B	X	B	C	X	D	B	D
30013	1	A	C	C	D	X	A	B	C	C	B	B	A	D	C	D	B	B	X	A	D	X	D	B	B	A	C	A	B	D	D
30048	1	D	C	D	C	D	C	D	C	B	C	B	A	D	C	B	D	B	D	A	A	B	C	B	A	B	B	A	C	D	C
30057	1	B	X	X	X	B	D	A	X	X	C	A	A	C	A	A	C	B	X	D	D	B	C	X	C	D	C	B	X	D	B
30058	1	A	B	A	D	X	D	A	D	X	C	B	A	X	X	A	B	A	D	A	A	B	D	B	C	A	D	A	A	B	C
30086	1	B	X	X	A	A	X	A	C	B	X	B	A	A	C	A	A	A	C	D	B	D	A	B	D	A	C	A	D	D	B
30115	1	A	A	C	D	B	X	A	C	D	C	B	A	A	D	D	B	B	X	D	B	C	A	B	C	A	C	A	D	D	B
30107	1	A	C	D	C	A	D	A	C	C	B	B	A	C	D	A	B	A	B	D	C	B	D	B	B	D	C	A	D	X	C
30111	1	A	C	B	A	C	C	B	A	X	B	B	A	A	C	B	D	A	B	D	B	A	A	B	C	B	C	B	A	B	D
30093	1	B	D	A	A	B	D	C	A	D	C	B	A	D	D	A	D	A	C	D	D	A	D	B	C	A	C	D	B	C	C
30063	1	A	X	B	X	X	B	B	C	X	C	B	A	B	C	A	A	A	D	D	B	A	D	B	C	A	C	A	D	D	B
30038	1	A	C	B	A	X	X	A	C	D	B	B	A	X	B	A	B	B	A	B	B	B	A	B	A	X	C	X	B	C	C
30039	1	A	A	C	D	X	X	A	C	D	C	B	A	C	D	X	B	X	A	X	X	X	D	B	X	A	C	A	D	X	C
30014	1	D	C	D	B	X	D	B	X	B	B	D	B	C	X	X	A	C	X	A	B	B	C	B	B	A	C	A	B	D	D
30065	1	A	D	B	B	B	X	A	C	C	C	B	A	C	C	A	B	A	D	D	B	B	A	B	C	A	D	B	D	C	C
30032	1	B	X	X	D	X	X	C	C	X	C	B	A	C	B	A	A	C	X	D	B	A	A	B	C	A	C	B	D	D	X
30106	1	A	X	X	X	X	C	C	C	X	X	B	A	X	C	A	B	A	C	D	D	A	A	B	B	X	C	X	B	B	C
30076	1	B	X	X	D	B	X	X	B	X	B	B	A	C	X	X	B	X	X	D	X	B	A	B	C	A	D	A	D	D	C
30020	1	D	C	C	X	A	D	A	C	X	C	B	A	A	C	D	B	A	B	D	X	C	A	B	C	A	D	A	A	D	B
30073	1	A	X	X	X	X	X	A	C	D	B	B	A	B	C	B	X	A	B	D	B	A	B	X	C	A	X	A	D	X	D
30108	1	A	X	A	C	X	B	A	B	B	B	B	B	A	C	A	B	D	A	A	D	A	X	B	B	A	D	A	A	D	C
30050	1	D	C	X	X	X	C	A	B	A	B	B	A	X	A	A	C	A	X	D	D	C	X	B	X	A	D	A	D	C	C
30100	1	A	A	C	X	X	B	A	C	D	B	A	A	X	D	B	B	A	D	D	B	X	A	B	C	A	X	A	D	D	C
30114	1	A	X	X	C	X	C	X	A	X	C	B	A	A	C	A	C	A	X	D	D	A	C	B	C	A	C	X	C	D	D
30043	1	A	X	C	D	C	B	A	C	X	B	B	A	C	D	A	B	X	D	A	B	A	C	B	X	B	C	B	D	X	D
30224	1	A	C	D	X	X	C	A	C	C	C	B	A	B	C	B	C	A	B	D	B	A	C	B	C	A	C	B	D	B	C
30226	1	X	X	C	D	X	B	A	C	D	C	B	A	X	X	X	X	B	X	B	B	B	A	B	C	A	C	A	D	C	C
30315	1	A	C	C	D	X	C	A	C	C	C	A	A	C	A	A	B	B	D	D	B	A	A	B	B	A	C	B	A	D	C
30285	1	A	B	C	X	X	D	A	C	D	C	B	A	X	X	X	B	B	D	C	B	A	C	B	C	D	C	A	B	A	C
30281	1	B	D	D	B	X	X	A	C	X	C	A	A	X	C	X	B	A	X	B	X	B	C	B	B	A	C	A	D	D	A
30302	1	A	X	C	D	X	X	A	C	X	D	B	X	A	D	B	B	B	X	X	C	C	A	B	B	A	C	A	D	D	C
30231	1	A	X	C	D	X	A	A	C	D	C	B	A	B	D	X	B	X	X	D	B	A	A	B	C	A	C	C	D	A	C
30228	1	A	D	C	X	B	C	A	A	X	C	B	A	C	C	A	B	B	X	A	B	B	A	B	C	A	C	A	D	A	C
30252	1	A	X	A	X	A	X	A	A	X	X	D	A	B	D	X	B	B	A	D	A	B	X	B	X	C	C	B	D	C	X
30251	1	B	D	C	X	X	B	A	C	X	B	B	A	X	X	A	C	B	X	X	X	X	A	B	C	C	C	B	B	D	A
30275	1	A	C	B	X	A	C	C	B	X	C	B	A	A	A	B	B	C	B	C	B	B	A	B	C	D	C	D	D	C	D
30257	1	B	X	C	X	A	C	B	A	A	C	B	B	C	X	B	B	A	B	C	D	B	D	D	C	X	D	D	A	X	D
30299	1	A	C	X	X	B	X	B	C	B	A	B	A	B	D	A	B	B	X	D	X	A	B	A	C	A	D	A	B	B	C
30268	1	C	B	X	D	X	D	A	B	X	A	B	A	X	X	A	B	B	C	A	D	A	D	B	B	C	C	A	D	B	B
30283	1	B	X	X	D	X	X	A	C	X	C	B	A	C	X	A	B	C	X	X	X	B	B	B	C	A	B	A	C	D	D
30267	1	D	X	X	C	X	X	C	C	X	B	B	A	C	C	D	B	A	B	D	X	C	D	B	C	A	C	B	D	C	B
30317	1	D	X	D	D	A	C	A	C	B	C	B	A	D	C	X	B	B	C	C	B	A	B	B	C	B	C	B	D	C	D
30253	1	B	X	D	X	B	X	A	C	X	B	B	A	X	D	X	B	C	D	A	X	B	D	B	C	A	B	A	D	D	C
30245	1	B	X	C	D	X	X	A	B	X	C	B	A	A	X	B	B	C	B	A	D	B	A	B	A	A	C	A	D	B	B
30316	1	B	C	C	B	B	D	A	C	B	C	B	A	C	C	A	B	A	A	D	D	A	B	B	C	A	C	A	D	D	D
30227	1	X	X	X	X	X	X	A	X	X	D	B	A	X	X	B	B	X	D	D	X	X	A	B	X	X	C	A	A	X	X
30286	1	C	B	C	D	X	C	A	C	X	C	B	A	C	B	A	B	D	D	X	B	A	D	B	X	B	D	D	D	C	B
30240	1	C	B	D	B	B	D	A	A	A	C	A	A	C	D	B	B	C	C	B	B	B	D	B	C	B	C	A	B	D	D
30320	1	B	B	D	B	A	C	A	B	A	C	B	B	D	A	A	B	B	C	A	A	A	D	B	C	A	C	A	D	C	C
30308	1	A	C	C	D	B	B	C	C	A	C	B	A	A	C	B	B	A	C	A	B	B	B	D	C	D	D	A	D	D	C
30305	1	B	X	X	B	X	C	X	C	X	C	A	A	X	X	X	X	B	X	A	X	A	X	B	X	D	C	B	X	X	X
30264	1	D	D	C	C	A	D	A	B	A	D	B	A	B	C	C	B	B	D	C	B	A	A	X	D	B	C	D	D	B	D
30307	1	D	C	D	B	B	D	C	C	D	C	B	A	C	C	B	B	A	B	C	D	C	A	B	C	A	C	A	D	C	C
30260	1	D	B	D	D	X	C	C	X	B	D	B	C	B	C	D	B	B	C	D	B	A	D	B	B	D	D	D	A	C	D
30279	1	B	X	D	A	X	D	A	C	A	B	B	A	A	C	B	B	A	B	B	D	B	D	B	C	B	C	C	D	D	C
30292	1	B	D	C	A	A	A	A	D	D	B	B	A	B	C	D	B	A	B	B	D	C	B	A	A	C	C	D	A	C	D
30232	1	B	X	X	B	X	D	A	D	C	B	C	A	X	C	X	D	A	X	X	X	C	X	X	X	X	X	A	B	C	X
30247	1	B	C	C	B	D	C	D	D	B	B	D	A	C	C	B	B	D	B	D	D	B	B	D	B	A	C	C	D	A	B
30214	1	A	C	C	D	B	C	B	D	A	B	B	A	C	C	A	B	B	D	D	A	B	A	B	B	A	C	D	D	D	A
30326	1	A	A	C	X	X	X	A	X	X	C	B	A	X	X	A	B	B	C	C	B	B	A	B	C	A	C	A	D	D	B
30090	1	A	D	C	X	X	X	A	C	X	A	B	B	X	C	X	A	A	D	D	X	X	A	B	C	B	C	B	D	D	C
30089	1	A	C	C	C	B	D	A	B	D	C	D	A	B	C	D	B	B	C	B	D	A	D	B	B	A	C	A	D	D	C
30436	1	A	X	C	X	X	A	A	C	B	B	B	A	X	X	X	B	X	X	D	X	A	X	B	D	A	C	A	A	C	C
30256	1	X	A	X	X	X	X	B	C	B	C	B	A	C	B	A	A	X	X	X	B	X	A	B	X	A	C	B	D	D	C
30352	1	B	C	B	X	B	D	A	C	D	C	A	A	A	C	C	D	B	A	B	B	A	A	B	C	A	D	B	B	B	C
30153	1	C	X	X	X	X	X	X	X	X	X	B	A	C	X	B	A	D	C	D	D	B	X	B	C	A	C	D	B	D	C
30109	1	C	B	A	D	B	C	B	D	B	C	B	A	C	A	A	D	B	D	D	D	A	D	A	C	A	B	D	D	B	B
30033	1	D	B	A	B	C	D	D	B	B	D	B	B	B	C	C	B	D	B	A	D	B	A	B	D	A	A	B	A	B	D
30053	1	B	B	C	D	C	B	B	B	D	B	B	A	A	A	A	B	B	C	D	D	A	A	B	C	A	C	B	C	B	B
30263	1	B	X	X	A	X	X	C	X	X	C	D	B	B	C	C	D	A	B	D	X	B	D	B	D	A	C	C	A	C	A
30219	1	B	X	B	X	X	X	D	X	X	X	B	A	X	B	X	D	X	X	D	X	X	X	X	X	X	X	A	D	B	C
30422	1	C	X	X	B	X	C	A	D	B	B	D	B	B	X	X	A	X	X	C	X	A	B	X	X	X	X	B	A	C	X
30030	1	B	B	C	B	A	D	A	C	D	C	B	A	B	C	B	B	C	D	A	B	B	D	B	B	A	B	A	D	C	B
30156	1	D	B	A	B	X	B	D	C	X	C	B	C	B	C	A	B	B	X	B	D	D	A	B	C	B	A	A	D	C	C
30294	1	A	X	C	D	B	X	A	A	D	B	B	A	D	C	A	B	A	D	A	D	A	B	B	C	A	C	B	X	D	C
30185	1	B	D	C	C	B	C	A	A	B	D	B	A	C	C	A	B	C	D	C	D	B	D	B	D	B	B	A	A	D	D
30021	1	A	B	B	C	X	B	B	B	B	C	B	A	C	C	A	B	A	D	A	B	B	C	B	C	A	B	B	D	D	C
30435	1	A	D	C	X	X	X	A	X	X	C	B	A	X	C	X	B	A	X	A	B	A	A	B	C	A	C	A	D	C	D
30008	1	D	B	D	C	B	B	C	C	D	B	A	C	B	B	C	C	C	B	B	C	C	A	A	B	B	C	A	C	B	A
30355	1	B	X	X	D	X	X	A	C	X	X	B	A	B	X	A	B	B	D	X	B	C	C	B	X	X	D	X	D	X	C
30255	1	B	C	B	C	B	B	C	C	A	D	B	A	A	B	A	B	A	D	C	D	C	C	B	C	A	C	A	D	D	B
30273	1	A	D	X	D	X	C	B	C	D	B	B	A	A	D	A	D	B	X	D	B	X	A	B	X	D	C	C	D	D	C
30399	1	B	X	X	D	X	C	B	B	X	C	B	B	X	X	X	B	X	X	X	B	X	X	X	X	X	X	X	X	X	X
30442	1	B	B	D	D	C	C	C	A	A	D	D	B	C	B	B	B	D	D	C	B	C	C	D	D	A	A	A	A	C	D
30365	1	D	B	C	X	B	X	A	C	B	C	B	A	A	D	A	B	B	B	A	D	A	B	B	C	A	X	D	D	A	C
