ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaal_geen_correctieJuist	totaal_geen_correctieFout	totaal_geen_correctieBlanco	totaal_geen_correctieScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_geen_correctieJuist	wiskunde_geen_correctieFout	wiskunde_geen_correctieBlanco	wiskunde_geen_correctieScore	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysica_geen_correctieJuist	fysica_geen_correctieFout	fysica_geen_correctieBlanco	fysica_geen_correctieScore	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemie_geen_correctieJuist	chemie_geen_correctieFout	chemie_geen_correctieBlanco	chemie_geen_correctieScore
30052	1	0	9	15	3	3	9	18	3	2	1	7	1	0	1	8	1	0	5	3	1	4	5	4	1	4	3	5	1	1	3	6	1	1
30176	1	0	13	10	4	7	14	12	4	7	3	5	1	1	3	6	1	1	3	4	2	2	3	5	2	1	7	1	1	7	8	1	1	8
30186	1	0	12	15	0	5	13	17	0	5	7	2	0	7	7	3	0	6	3	6	0	1	3	7	0	1	2	7	0	0	3	7	0	1
30197	1	1	15	4	8	10	16	6	8	9	4	1	4	4	4	2	4	3	5	1	3	5	5	2	3	4	6	2	1	6	7	2	1	6
30335	1	0	12	15	0	5	12	18	0	4	5	4	0	4	5	5	0	3	2	7	0	0	2	8	0	0	5	4	0	4	5	5	0	3
30282	1	0	12	9	6	7	12	12	6	5	3	3	3	2	3	4	3	2	5	3	1	4	5	4	1	4	4	3	2	3	4	4	2	3
30358	1	0	16	11	0	9	17	13	0	8	4	5	0	3	5	5	0	3	7	2	0	7	7	3	0	6	5	4	0	4	5	5	0	3
30059	1	1	20	5	2	14	21	6	3	13	7	1	1	7	7	2	1	6	6	2	1	6	6	2	2	5	7	2	0	7	8	2	0	7
30439	1	0	7	18	2	1	8	20	2	1	2	6	1	0	2	7	1	0	3	6	0	1	4	6	0	2	2	6	1	0	2	7	1	0
30318	1	0	14	7	6	9	16	8	6	9	5	2	2	5	6	2	2	5	4	3	2	3	4	4	2	3	5	2	2	5	6	2	2	5
30045	1	0	14	8	5	8	14	11	5	7	3	2	4	3	3	3	4	2	5	3	1	4	5	4	1	4	6	3	0	6	6	4	0	5
30170	1	1	22	3	2	16	22	6	2	13	8	1	0	9	8	2	0	7	6	1	2	6	6	2	2	5	8	1	0	9	8	2	0	7
30083	1	0	11	16	0	4	13	17	0	5	3	6	0	1	4	6	0	2	4	5	0	3	4	6	0	2	4	5	0	3	5	5	0	3
30271	1	1	17	6	4	11	17	9	4	9	7	1	1	7	7	2	1	6	3	3	3	2	3	4	3	2	7	2	0	7	7	3	0	6
30237	1	0	10	17	0	3	10	20	0	2	2	7	0	0	2	8	0	0	3	6	0	1	3	7	0	1	5	4	0	4	5	5	0	3
30036	1	1	17	6	4	11	18	8	4	10	5	0	4	6	5	1	4	5	4	5	0	3	4	6	0	2	8	1	0	9	9	1	0	9
30022	1	1	17	6	4	11	17	7	6	10	5	2	2	5	5	2	3	4	4	3	2	3	4	3	3	3	8	1	0	9	8	2	0	7
30337	1	0	15	7	5	9	15	9	6	8	6	1	2	6	6	2	2	5	3	3	3	2	3	3	4	2	6	3	0	6	6	4	0	5
30212	1	0	15	7	5	9	15	9	6	8	3	3	3	2	3	4	3	2	5	2	2	5	5	3	2	4	7	2	0	7	7	2	1	6
30188	1	0	12	12	3	6	12	15	3	5	3	3	3	2	3	4	3	2	1	8	0	0	1	9	0	0	8	1	0	9	8	2	0	7
30211	1	0	10	17	0	3	11	19	0	3	2	7	0	0	2	8	0	0	3	6	0	1	4	6	0	2	5	4	0	4	5	5	0	3
30081	1	0	14	10	3	8	14	13	3	6	3	3	3	2	3	4	3	2	6	3	0	6	6	4	0	5	5	4	0	4	5	5	0	3
30078	1	0	10	13	4	4	11	15	4	4	3	2	4	3	4	2	4	3	3	6	0	1	3	7	0	1	4	5	0	3	4	6	0	2
30314	1	0	13	14	0	6	14	16	0	6	4	5	0	3	5	5	0	3	4	5	0	3	4	6	0	2	5	4	0	4	5	5	0	3
30243	1	0	10	9	8	5	11	11	8	5	0	5	4	0	0	6	4	0	5	2	2	5	5	3	2	4	5	2	2	5	6	2	2	5
30168	1	0	15	9	3	9	15	11	4	8	6	2	1	6	6	3	1	5	3	5	1	1	3	5	2	1	6	2	1	6	6	3	1	5
30460	1	0	13	9	5	7	14	11	5	7	6	2	1	6	6	3	1	5	4	5	0	3	4	6	0	2	3	2	4	3	4	2	4	3
30401	1	1	22	3	2	16	23	5	2	14	6	1	2	6	6	2	2	5	7	2	0	7	7	3	0	6	9	0	0	10	10	0	0	10
30416	1	0	9	10	8	4	10	12	8	4	3	1	5	3	4	1	5	4	6	3	0	6	6	4	0	5	0	6	3	0	0	7	3	0
30201	1	1	21	6	0	14	22	8	0	13	7	2	0	7	7	3	0	6	8	1	0	9	8	2	0	7	6	3	0	6	7	3	0	6
30391	1	1	20	2	5	14	21	2	7	14	8	0	1	9	9	0	1	9	6	1	2	6	6	1	3	6	6	1	2	6	6	1	3	6
30447	1	0	9	13	5	3	10	15	5	3	3	4	2	2	3	5	2	1	4	4	1	3	4	5	1	2	2	5	2	0	3	5	2	1
30015	1	0	12	10	5	6	12	13	5	5	2	2	5	1	2	3	5	1	5	4	0	4	5	5	0	3	5	4	0	4	5	5	0	3
30119	1	0	11	12	4	5	11	14	5	4	3	4	2	2	3	4	3	2	2	6	1	0	2	7	1	0	6	2	1	6	6	3	1	5
30133	1	1	17	5	5	11	17	8	5	10	4	2	3	4	4	3	3	3	5	2	2	5	5	3	2	4	8	1	0	9	8	2	0	7
30367	1	1	18	6	3	12	18	9	3	10	7	1	1	7	7	2	1	6	6	1	2	6	6	2	2	5	5	4	0	4	5	5	0	3
30128	1	0	14	10	3	8	14	11	5	7	5	3	1	4	5	3	2	4	4	5	0	3	4	5	1	2	5	2	2	5	5	3	2	4
30002	1	1	24	2	1	17	25	3	2	16	7	1	1	7	8	1	1	8	8	1	0	9	8	2	0	7	9	0	0	10	9	0	1	9
30372	1	0	11	16	0	4	12	18	0	4	3	6	0	1	3	7	0	1	4	5	0	3	4	6	0	2	4	5	0	3	5	5	0	3
30131	1	0	10	11	6	5	10	14	6	4	3	3	3	2	3	4	3	2	4	3	2	3	4	4	2	3	3	5	1	1	3	6	1	1
30248	1	1	16	4	7	11	17	5	8	10	4	2	3	4	5	2	3	4	5	1	3	5	5	2	3	4	7	1	1	7	7	1	2	7
30060	1	1	21	4	2	15	22	6	2	13	7	2	0	7	8	2	0	7	7	1	1	7	7	2	1	6	7	1	1	7	7	2	1	6
30006	1	0	15	11	1	8	17	11	2	9	6	3	0	6	7	3	0	6	3	5	1	1	3	5	2	1	6	3	0	6	7	3	0	6
30276	1	1	15	6	6	10	16	7	7	9	3	3	3	2	4	3	3	3	5	3	1	4	5	4	1	4	7	0	2	8	7	0	3	7
30457	1	0	14	9	4	8	14	11	5	7	3	2	4	3	3	3	4	2	5	4	0	4	5	4	1	4	6	3	0	6	6	4	0	5
30375	1	0	16	11	0	9	16	14	0	8	5	4	0	4	5	5	0	3	4	5	0	3	4	6	0	2	7	2	0	7	7	3	0	6
30178	1	0	10	12	5	4	10	13	7	4	3	2	4	3	3	2	5	2	3	6	0	1	3	7	0	1	4	4	1	3	4	4	2	3
30019	1	0	13	14	0	6	15	15	0	7	1	8	0	0	2	8	0	0	5	4	0	4	5	5	0	3	7	2	0	7	8	2	0	7
30459	1	0	13	14	0	6	15	15	0	7	4	5	0	3	5	5	0	3	5	4	0	4	5	5	0	3	4	5	0	3	5	5	0	3
30204	1	0	10	13	4	4	12	14	4	5	4	3	2	3	5	3	2	4	1	7	1	0	1	8	1	0	5	3	1	4	6	3	1	5
30126	1	0	7	9	11	3	7	12	11	2	2	3	4	1	2	4	4	1	2	2	5	1	2	3	5	1	3	4	2	2	3	5	2	1
30394	1	0	11	11	5	5	11	13	6	4	1	5	3	0	1	5	4	0	5	4	0	4	5	5	0	3	5	2	2	5	5	3	2	4
30265	1	1	23	4	0	16	26	4	0	16	9	0	0	10	10	0	0	10	7	2	0	7	8	2	0	7	7	2	0	7	8	2	0	7
