ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore
32968	1	1	18	7	5	10	18	7	5	16	6	0	0	6	12	7	5	10	3	4	2	2	12	1	3	12	3	1	0	3	0	1	0	0
32419	1	1	24	2	4	16	24	2	4	23	6	0	0	6	18	2	4	17	8	0	1	8	12	2	2	11	3	0	1	3	1	0	0	1
32668	1	1	20	10	0	11	20	10	0	17	4	2	0	3	16	8	0	13	6	3	0	5	11	5	0	9	3	1	0	3	0	1	0	0
33557	1	1	28	2	0	18	28	2	0	27	6	0	0	6	22	2	0	21	8	1	0	8	16	0	0	16	4	0	0	4	0	1	0	0
33357	1	0	10	14	6	4	10	14	6	5	3	2	1	2	7	12	5	3	3	5	1	1	6	6	4	4	1	3	0	0	0	0	1	0
32509	1	0	13	17	0	5	13	17	0	7	2	4	0	1	11	13	0	7	1	8	0	0	8	8	0	5	3	1	0	3	1	0	0	1
32841	1	0	12	18	0	4	12	18	0	6	4	2	0	3	8	16	0	3	4	5	0	2	6	10	0	3	2	2	0	1	0	1	0	0
32395	1	1	20	10	0	11	20	10	0	17	6	0	0	6	14	10	0	11	4	5	0	2	12	4	0	11	3	1	0	3	1	0	0	1
32440	1	1	22	8	0	13	22	8	0	19	5	1	0	5	17	7	0	15	7	2	0	6	11	5	0	9	3	1	0	3	1	0	0	1
32274	1	1	18	3	9	11	18	3	9	17	6	0	0	6	12	3	9	11	5	2	2	4	9	1	6	9	3	0	1	3	1	0	0	1
33569	1	0	14	12	4	7	14	12	4	10	3	3	0	2	11	9	4	8	5	3	1	4	6	7	3	4	3	1	0	3	0	1	0	0
33755	1	0	10	17	3	3	10	17	3	4	3	3	0	2	7	14	3	2	0	8	1	0	7	8	1	4	2	1	1	2	1	0	0	1
32662	1	0	12	18	0	4	12	18	0	6	4	2	0	3	8	16	0	3	5	4	0	4	7	9	0	4	0	4	0	0	0	1	0	0
