ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
25369	1	D	X	C	D	B	X	A	C	D	D	C	B	D	C	C	B	X	X	D	A	D	D	A	D	B	C	B	C	D	D	A	B	A	C	B	D	B	C	A	D
26461	1	D	X	C	B	X	X	X	X	X	X	X	B	D	X	X	X	B	D	X	C	B	X	A	X	X	A	X	X	X	X	A	D	B	A	B	A	D	C	A	X
23963	1	D	X	C	C	B	D	A	X	A	D	X	B	D	X	D	B	X	B	D	D	A	X	B	A	B	D	B	X	D	A	A	D	X	A	B	D	B	C	X	C
27308	1	D	B	C	D	B	X	A	D	A	X	B	B	C	X	X	X	D	X	D	D	A	B	X	C	C	C	B	C	X	X	A	B	D	C	B	A	B	C	B	C
26719	1	D	A	B	D	B	X	X	C	A	D	C	B	C	X	C	C	A	C	C	D	A	C	X	B	C	D	X	B	C	A	B	D	A	A	B	A	C	X	C	C
24683	1	D	X	B	D	B	B	A	A	A	D	B	B	C	B	D	B	B	X	C	X	A	D	C	D	B	C	B	C	C	D	A	D	A	B	A	A	D	C	C	A
24039	1	D	B	C	D	B	D	A	C	A	D	B	D	C	A	X	C	B	C	A	A	A	X	X	B	B	D	D	C	X	X	A	B	A	C	B	A	D	C	B	B
26928	1	D	A	C	D	D	B	C	D	B	B	C	B	C	C	A	B	B	D	B	C	A	D	B	D	C	A	B	A	C	C	A	B	C	C	B	A	B	D	D	A
27448	1	D	C	C	D	B	D	X	C	X	D	X	C	D	X	D	X	X	X	C	X	A	X	X	B	B	D	C	A	X	X	A	A	D	C	B	A	D	C	X	B
26081	1	D	X	C	D	A	X	A	D	D	D	B	B	C	B	B	B	X	D	C	X	A	C	C	D	B	C	A	C	D	D	A	B	A	A	A	A	C	C	B	B
24556	1	D	B	C	D	B	D	D	C	A	D	B	B	B	A	X	B	B	X	C	A	A	X	C	D	B	C	C	C	D	X	A	B	C	C	B	A	C	C	B	C
26585	1	D	X	B	C	X	X	X	X	X	C	B	C	D	X	X	B	B	X	C	D	A	X	B	B	C	C	D	A	C	C	A	D	C	X	B	A	C	C	A	B
25290	1	D	C	B	D	C	C	C	B	A	B	B	B	C	A	D	B	A	B	B	C	B	A	B	D	C	D	B	C	B	B	A	A	D	D	B	A	D	D	A	B
25198	1	D	X	C	D	D	B	X	C	A	D	X	B	D	X	X	C	B	C	D	D	A	C	C	D	B	D	B	C	D	D	A	D	B	C	B	A	C	C	B	B
26904	1	D	C	B	D	X	B	C	B	D	D	B	A	C	B	A	B	A	B	D	A	D	D	B	D	B	A	X	C	B	A	A	D	B	C	C	D	A	D	A	C
25265	1	D	A	C	D	B	A	A	B	A	D	B	B	C	A	D	B	C	D	D	D	A	D	C	A	B	D	B	C	A	D	A	A	D	C	B	D	C	C	B	C
26534	1	D	A	C	D	X	X	A	C	A	D	B	B	C	X	D	B	B	X	C	A	A	C	D	C	C	C	B	A	X	X	A	B	A	C	B	A	C	C	A	B
26519	1	D	B	B	D	B	X	A	C	A	D	D	B	D	B	C	B	B	C	D	A	A	C	X	B	B	A	C	A	X	D	A	B	X	D	B	C	B	C	A	X
26062	1	D	B	D	D	B	A	A	C	A	D	B	B	C	X	D	B	X	D	C	A	A	X	C	D	B	D	B	C	C	D	A	X	D	D	B	A	D	C	D	B
24758	1	D	B	C	D	B	B	A	C	A	D	B	B	C	A	D	C	A	A	C	A	A	C	B	D	B	D	B	C	C	A	A	C	A	B	B	D	X	C	B	B
26169	1	D	X	B	D	D	X	A	X	A	C	X	B	C	C	D	B	X	X	X	X	A	X	X	A	C	D	X	X	X	X	A	B	A	C	A	A	D	C	B	C
24170	1	D	A	C	D	B	A	X	D	A	D	B	B	A	X	D	B	B	D	D	C	A	X	C	D	B	D	X	C	D	A	A	B	A	C	B	D	D	C	B	B
24815	1	D	B	C	D	X	B	X	X	X	D	X	A	A	X	X	B	B	X	D	A	C	X	A	D	A	C	A	C	D	D	A	D	X	A	B	A	X	C	X	X
26840	1	D	B	B	D	B	B	B	C	D	D	B	B	B	A	X	C	A	B	A	A	A	X	C	D	B	C	A	X	D	D	A	D	B	C	B	A	C	C	B	C
27457	1	C	B	C	D	B	D	X	C	A	D	B	B	C	C	X	B	B	A	C	A	A	C	A	D	D	D	X	A	X	X	X	X	X	X	X	X	X	X	X	X
